case_id,mesh,operator,model,layer,seq_len,logical_M,logical_N,logical_K,runtime_M,runtime_N,runtime_K,tile_M,tile_N,tile_K,Tm,Tn,Tk,logical_flops,runtime_flops,T00_cycles,T10_cycles,T01_cycles,T11_cycles,inter_speedup_without_intra,inter_speedup_with_intra,intra_speedup_without_inter,intra_speedup_with_inter,total_speedup,synergy,normal_cycles,congested_upper_bound_cycles,congestion_factor,T00_source,T10_source,T01_source,T11_source,simulation_signature,schedule_source,result_source,status,error,K,M,N,Qfull,T00_T10_T01_source,T00_time,T01_time,T10_time,T11_time,a_broadcast_bytes,active_cores,algorithmic_theory_naive_time,algorithmic_theory_speedup,algorithmic_theory_time,b_broadcast_bytes,collective_bytes,core_schedule_efficiency,estimate_source,fanout_penalty,flops,hbm_bytes_per_die,hbm_cycles,hbm_traffic_model,intra_compute_efficiency,intra_k_waves,intra_pk,intra_pm,intra_pn,intra_spatial_utilization,local_transport_bytes,logical_collective_bytes,padding_K,padding_M,padding_N,q_window,rank_K,rank_N,rank_flops,reduction_bytes,runtime_collective_bytes,runtime_flops_over_logical_flops,segment_bytes,segmented_comm_efficiency,spatial_penalty,split_k_penalty,sram_capacity_bytes,t10_contention_tail,t11_contention_tail,theory_Px,theory_Py,theory_algorithm,theory_attainment_rate,theory_boundary_waves,theory_model,theory_naive_time,theory_speedup,theory_time,tile_live_bytes,topology_efficiency,wave_fill_efficiency
1x4_ag_gemm_llama_2_7b_attention_s2048,1x4,AG_GEMM,LLaMA-2-7B,attention,2048,2048,12288,4096,2048,12288,4096,128,512,256,16,6,8,206158430208,206158430208,8334803,8287458,2116731,2069437,1.0057128494648178,1.0228535587215266,3.9375825270192575,4.004692097415867,4.02757030052135,1.0170433432026151,2069437,2390199,1.155,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,,canonical_experiment_fallback,analytical_resource_replay_fallback,estimated_via_tiling_and_padding,,4096,2048,3072,96,analytical_resource_replay_fallback,0.008334803,0.002116731,0.008287458,0.002069437,18874368,16,0.0064916029440000005,16.1220703125,0.000402653184,25165824,12582912.0,0.7607272727272727,analytical_resource_replay_fallback,0.006,206158430208,402653184,1572864.0,fused_boundary_tile_replay_v1,0.67875,8,2,2,4,0.75,69206016,12582912.0,0,0,0,8,4096,3072,51539607552,25165824,12582912.0,1.0,131072.0,0.75,0.01,0.006,3145728,0.015238013900009385,0.015953820754395266,,,1d_ring,0.7602918139432234,1,flashoverlap_wave_schedule_contention,0.008334802944,5.297400585746828,0.001573376,1703936,0.9304842103984707,0.2727272727272727
1x4_ag_gemm_llama_2_7b_attention_s32768,1x4,AG_GEMM,LLaMA-2-7B,attention,32768,32768,12288,4096,32768,12288,4096,128,512,256,256,6,8,3298534883328,3298534883328,133356847,132588321,32294350,31526684,1.0057963325442518,1.0243497222860483,4.129417281970376,4.205590445224115,4.229967445989562,1.018446467879699,31526684,36413320,1.155,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,,canonical_experiment_fallback,analytical_resource_replay_fallback,estimated_via_tiling_and_padding,,4096,32768,3072,1536,analytical_resource_replay_fallback,0.133356847,0.03229435,0.132588321,0.031526684,301989888,16,0.10386564710400001,16.1220703125,0.006442450944,402653184,201326592.0,0.7987142857142857,analytical_resource_replay_fallback,0.006,3298534883328,6442450944,25165824.0,fused_boundary_tile_replay_v1,0.67875,8,2,2,4,0.75,1107296256,201326592.0,0,0,0,8,4096,3072,824633720832,402653184,201326592.0,1.0,131072.0,0.75,0.01,0.006,3145728,0.015238013900009385,0.016001449914915037,,,1d_ring,0.7982550902078289,1,flashoverlap_wave_schedule_contention,0.133356847104,5.299017191219254,0.025166336,1703936,0.9304842103984707,0.8571428571428571
1x4_ag_gemm_llama_2_7b_mlp_s2048,1x4,AG_GEMM,LLaMA-2-7B,mlp,2048,2048,11008,4096,2048,12288,4096,128,512,256,16,6,8,184683593728,206158430208,8334803,8287458,2116731,2069437,1.0057128494648178,1.0228535587215266,3.9375825270192575,4.004692097415867,4.02757030052135,1.0170433432026151,2069437,2390199,1.155,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,,canonical_experiment_fallback,analytical_resource_replay_fallback,estimated_via_tiling_and_padding,,4096,2048,2752,96,analytical_resource_replay_fallback,0.008334803,0.002116731,0.008287458,0.002069437,18874368,16,0.0064916029440000005,16.1220703125,0.000402653184,25165824,12582912.0,0.7607272727272727,analytical_resource_replay_fallback,0.006,184683593728,402653184,1572864.0,fused_boundary_tile_replay_v1,0.67875,8,2,2,4,0.75,69206016,12582912.0,0,0,1280,8,4096,3072,51539607552,25165824,12582912.0,1.0,131072.0,0.75,0.01,0.006,3145728,0.015238013900009385,0.015953820754395266,,,1d_ring,0.7602918139432234,1,flashoverlap_wave_schedule_contention,0.008334802944,5.297400585746828,0.001573376,1703936,0.9304842103984707,0.2727272727272727
1x4_ag_gemm_llama_2_7b_mlp_s32768,1x4,AG_GEMM,LLaMA-2-7B,mlp,32768,32768,11008,4096,32768,12288,4096,128,512,256,256,6,8,2954937499648,3298534883328,133356847,132588321,32294350,31526684,1.0057963325442518,1.0243497222860483,4.129417281970376,4.205590445224115,4.229967445989562,1.018446467879699,31526684,36413320,1.155,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,,canonical_experiment_fallback,analytical_resource_replay_fallback,estimated_via_tiling_and_padding,,4096,32768,2752,1536,analytical_resource_replay_fallback,0.133356847,0.03229435,0.132588321,0.031526684,301989888,16,0.10386564710400001,16.1220703125,0.006442450944,402653184,201326592.0,0.7987142857142857,analytical_resource_replay_fallback,0.006,2954937499648,6442450944,25165824.0,fused_boundary_tile_replay_v1,0.67875,8,2,2,4,0.75,1107296256,201326592.0,0,0,1280,8,4096,3072,824633720832,402653184,201326592.0,1.0,131072.0,0.75,0.01,0.006,3145728,0.015238013900009385,0.016001449914915037,,,1d_ring,0.7982550902078289,1,flashoverlap_wave_schedule_contention,0.133356847104,5.299017191219254,0.025166336,1703936,0.9304842103984707,0.8571428571428571
1x4_ag_gemm_gpt_3_175b_attention_s2048,1x4,AG_GEMM,GPT-3-175B,attention,2048,2048,36864,12288,2048,36864,12288,128,512,256,16,18,24,1855425871872,1855425871872,73096298,72952763,18216850,18073367,1.0019675060148168,1.0079389191842338,4.012565180039359,4.036478814379191,4.044420610725163,1.0059596874485157,18073367,20874738,1.155,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,,canonical_experiment_fallback,analytical_resource_replay_fallback,estimated_via_tiling_and_padding,,12288,2048,9216,288,analytical_resource_replay_fallback,0.073096298,0.01821685,0.072952763,0.018073367,56623104,16,0.058129514496,16.040690104166664,0.003623878656,75497472,37748736.0,0.7834117647058824,analytical_resource_replay_fallback,0.006,1855425871872,3623878656,14155776.0,fused_boundary_tile_replay_v1,0.8145,24,2,2,4,0.9,207618048,37748736.0,0,0,0,8,12288,9216,463856467968,75497472,37748736.0,1.0,131072.0,0.75,0.003999999999999999,0.006,3145728,0.015081102044713295,0.015327421064553568,,,1d_ring,0.7832678827327265,1,flashoverlap_wave_schedule_contention,0.073096298496,5.1635215740171425,0.014156288,1703936,0.9304842103984707,0.5294117647058824
1x4_ag_gemm_gpt_3_175b_attention_s32768,1x4,AG_GEMM,GPT-3-175B,attention,32768,32768,36864,12288,32768,36864,12288,128,512,256,256,18,24,29686813949952,29686813949952,1169540776,1167233199,281779847,279473141,1.0019769631312552,1.0082537663252584,4.150547984363126,4.176548754644011,4.184805637547831,1.0062644186692553,279473141,322791478,1.155,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,,canonical_experiment_fallback,analytical_resource_replay_fallback,estimated_via_tiling_and_padding,,12288,32768,9216,4608,analytical_resource_replay_fallback,1.169540776,0.281779847,1.167233199,0.279473141,905969664,16,0.930072231936,16.040690104166664,0.057982058496,1207959552,603979776.0,0.8105789473684211,analytical_resource_replay_fallback,0.006,29686813949952,57982058496,226492416.0,fused_boundary_tile_replay_v1,0.8145,24,2,2,4,0.9,3321888768,603979776.0,0,0,0,8,12288,9216,7421703487488,1207959552,603979776.0,1.0,131072.0,0.75,0.003999999999999999,0.006,3145728,0.015081102044713295,0.015338775384553638,,,1d_ring,0.8104282479595928,1,flashoverlap_wave_schedule_contention,1.169540775936,5.163696660480277,0.226492928,1703936,0.9304842103984707,0.9473684210526315
1x4_ag_gemm_gpt_3_175b_mlp_s2048,1x4,AG_GEMM,GPT-3-175B,mlp,2048,2048,49152,12288,2048,49152,12288,128,512,256,16,24,48,2473901162496,2473901162496,97412579,97268894,23978729,23835084,1.001477193726496,1.0060266202544115,4.062457980988067,4.080912574086167,4.086940872538985,1.0045427160562561,23835084,27529521,1.155,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,,canonical_experiment_fallback,analytical_resource_replay_fallback,estimated_via_tiling_and_padding,,12288,2048,12288,384,analytical_resource_replay_fallback,0.097412579,0.023978729,0.097268894,0.023835084,176160768,16,0.077456867328,16.030517578125,0.004831838208,100663296,37748736.0,0.792,analytical_resource_replay_fallback,0.012,2473901162496,4831838208,18874368.0,fused_boundary_tile_replay_v1,0.92,48,1,2,8,1.0,276824064,37748736.0,0,0,0,8,12288,12288,618475290624,0,37748736.0,1.0,98304.0,0.7424999999999999,0.0,0.0,3145728,0.015061440942964618,0.01525076549470239,,,1d_ring,0.7918894658162907,1,flashoverlap_wave_schedule_contention,0.09741257932799999,5.160999165869835,0.018874752,1703936,0.9304842103984707,0.6
1x4_ag_gemm_gpt_3_175b_mlp_s32768,1x4,AG_GEMM,GPT-3-175B,mlp,32768,32768,49152,12288,32768,49152,12288,128,512,256,256,24,48,39582418599936,39582418599936,1558601269,1556293962,372717265,370410630,1.0014825650271333,1.0062272375930463,4.181725440059773,4.201536986128071,4.2077660379239115,1.0047376486936492,370410630,427824278,1.155,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,,canonical_experiment_fallback,analytical_resource_replay_fallback,estimated_via_tiling_and_padding,,12288,32768,12288,6144,analytical_resource_replay_fallback,1.558601269,0.372717265,1.556293962,0.37041063,2818572288,16,1.239309877248,16.030517578125,0.077309411328,1610612736,603979776.0,0.8154,analytical_resource_replay_fallback,0.012,39582418599936,77309411328,301989888.0,fused_boundary_tile_replay_v1,0.92,48,1,2,8,1.0,4429185024,603979776.0,0,0,0,8,12288,12288,9895604649984,0,603979776.0,1.0,98304.0,0.7424999999999999,0.0,0.0,3145728,0.015061440942964618,0.015258174475227686,,,1d_ring,0.8152851119633047,1,flashoverlap_wave_schedule_contention,1.5586012692479998,5.161097603991694,0.301990272,1703936,0.9304842103984707,0.96
1x4_ag_gemm_llama_3_8b_attention_s2048,1x4,AG_GEMM,LLaMA-3-8B,attention,2048,2048,6144,4096,2048,6144,4096,128,512,256,16,3,8,103079215104,103079215104,4265705,4219011,1093186,1046583,1.0110675226966699,1.0445287186969405,3.9020852810043305,4.031224470491113,4.075840138813644,1.0330949172524349,1046583,1208804,1.155,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,,canonical_experiment_fallback,analytical_resource_replay_fallback,estimated_via_tiling_and_padding,,4096,2048,1536,48,analytical_resource_replay_fallback,0.004265705,0.001093186,0.004219011,0.001046583,3145728,16,0.003270377472,16.244140625,0.000201326592,37748736,12582912.0,0.7532631578947369,analytical_resource_replay_fallback,0.006,103079215104,201326592,786432.0,fused_boundary_tile_replay_v1,0.67875,8,2,4,2,0.75,53477376,12582912.0,0,0,0,8,4096,1536,25769803776,12582912,12582912.0,1.0,262144.0,0.78,0.01,0.006,3145728,0.015449715651473322,0.01681627315798612,,,1d_ring,0.7524065581688704,1,flashoverlap_wave_schedule_contention,0.004265705472,5.417071521456437,0.000787456,1703936,0.9304842103984707,0.15789473684210525
1x4_ag_gemm_llama_3_8b_attention_s32768,1x4,AG_GEMM,LLaMA-3-8B,attention,32768,32768,6144,4096,32768,6144,4096,128,512,256,256,3,8,1649267441664,1649267441664,68251288,67483007,16678964,15912265,1.011384806844781,1.0481828953954702,4.092057995928284,4.240942882738567,4.289225198298293,1.0363838652722974,15912265,18378666,1.155,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,,canonical_experiment_fallback,analytical_resource_replay_fallback,estimated_via_tiling_and_padding,,4096,32768,1536,768,analytical_resource_replay_fallback,0.068251288,0.016678964,0.067483007,0.015912265,50331648,16,0.052326039552,16.244140625,0.003221225472,603979776,201326592.0,0.79175,analytical_resource_replay_fallback,0.006,1649267441664,3221225472,12582912.0,fused_boundary_tile_replay_v1,0.67875,8,2,4,2,0.75,855638016,201326592.0,0,0,0,8,4096,1536,412316860416,201326592,201326592.0,1.0,262144.0,0.78,0.01,0.006,3145728,0.015449715651473322,0.01690907288875592,,,1d_ring,0.7908324856706879,1,flashoverlap_wave_schedule_contention,0.068251287552,5.423683619497111,0.012583936,1703936,0.9304842103984707,0.75
