case_id,mesh,operator,model,layer,seq_len,M,N,K,logical_M,logical_N,logical_K,runtime_M,runtime_N,runtime_K,padding_M,padding_N,padding_K,flops,logical_flops,runtime_flops,runtime_flops_over_logical_flops,rank_flops,collective_bytes,logical_collective_bytes,runtime_collective_bytes,theory_time,theory_naive_time,theory_speedup,theory_algorithm,theory_Px,theory_Py,rank_N,rank_K,Tm,Tn,Tk,algorithmic_theory_time,algorithmic_theory_naive_time,algorithmic_theory_speedup,theory_model,theory_attainment_rate,theory_boundary_waves,segment_bytes,segmented_comm_efficiency,topology_efficiency,core_schedule_efficiency,wave_fill_efficiency,split_k_penalty,fanout_penalty,spatial_penalty,t10_contention_tail,t11_contention_tail,intra_pm,intra_pn,intra_pk,active_cores,intra_k_waves,intra_compute_efficiency,intra_spatial_utilization,a_broadcast_bytes,b_broadcast_bytes,reduction_bytes,local_transport_bytes,hbm_traffic_model,hbm_bytes_per_die,hbm_cycles,tile_M,tile_N,tile_K,Qfull,q_window,tile_live_bytes,sram_capacity_bytes,T00_cycles,T10_cycles,T01_cycles,T11_cycles,T00_time,T10_time,T01_time,T11_time,inter_speedup_without_intra,inter_speedup_with_intra,intra_speedup_without_inter,intra_speedup_with_inter,total_speedup,synergy,congestion_factor,normal_cycles,congested_upper_bound_cycles,estimate_source,T11_source,T00_T10_T01_source,schedule_source,status,error
1x4_ag_gemm_llama_2_7b_attention_s2048,1x4,AG_GEMM,LLaMA-2-7B,attention,2048,2048,3072,4096,2048,12288,4096,2048,12288,4096,0,0,0,206158430208,206158430208,206158430208,1.0,51539607552,12582912.0,12582912.0,12582912.0,0.001573376,0.008334802944,5.297400585746828,1d_ring,,,3072,4096,16,6,8,0.000402653184,0.0064916029440000005,16.1220703125,flashoverlap_wave_schedule_contention,0.7602918139432234,1,131072.0,0.75,0.9304842103984707,0.7607272727272727,0.2727272727272727,0.006,0.006,0.01,0.015238013900009385,0.015953820754395266,2,4,2,16,8,0.67875,0.75,18874368,25165824,25165824,69206016,fused_boundary_tile_replay_v1,402653184,1572864.0,128,512,256,96,8,1703936,3145728,8334803,8287458,2116731,2069437,0.008334803,0.008287458,0.002116731,0.002069437,1.0057128494648178,1.0228535587215266,3.9375825270192575,4.004692097415867,4.02757030052135,1.0170433432026151,1.155,2069437,2390199,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
1x4_ag_gemm_llama_2_7b_attention_s32768,1x4,AG_GEMM,LLaMA-2-7B,attention,32768,32768,3072,4096,32768,12288,4096,32768,12288,4096,0,0,0,3298534883328,3298534883328,3298534883328,1.0,824633720832,201326592.0,201326592.0,201326592.0,0.025166336,0.133356847104,5.299017191219254,1d_ring,,,3072,4096,256,6,8,0.006442450944,0.10386564710400001,16.1220703125,flashoverlap_wave_schedule_contention,0.7982550902078289,1,131072.0,0.75,0.9304842103984707,0.7987142857142857,0.8571428571428571,0.006,0.006,0.01,0.015238013900009385,0.016001449914915037,2,4,2,16,8,0.67875,0.75,301989888,402653184,402653184,1107296256,fused_boundary_tile_replay_v1,6442450944,25165824.0,128,512,256,1536,8,1703936,3145728,133356847,132588321,32294350,31526684,0.133356847,0.132588321,0.03229435,0.031526684,1.0057963325442518,1.0243497222860483,4.129417281970376,4.205590445224115,4.229967445989562,1.018446467879699,1.155,31526684,36413320,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
1x4_ag_gemm_llama_2_7b_mlp_s2048,1x4,AG_GEMM,LLaMA-2-7B,mlp,2048,2048,2752,4096,2048,11008,4096,2048,12288,4096,0,1280,0,184683593728,184683593728,206158430208,1.0,51539607552,12582912.0,12582912.0,12582912.0,0.001573376,0.008334802944,5.297400585746828,1d_ring,,,3072,4096,16,6,8,0.000402653184,0.0064916029440000005,16.1220703125,flashoverlap_wave_schedule_contention,0.7602918139432234,1,131072.0,0.75,0.9304842103984707,0.7607272727272727,0.2727272727272727,0.006,0.006,0.01,0.015238013900009385,0.015953820754395266,2,4,2,16,8,0.67875,0.75,18874368,25165824,25165824,69206016,fused_boundary_tile_replay_v1,402653184,1572864.0,128,512,256,96,8,1703936,3145728,8334803,8287458,2116731,2069437,0.008334803,0.008287458,0.002116731,0.002069437,1.0057128494648178,1.0228535587215266,3.9375825270192575,4.004692097415867,4.02757030052135,1.0170433432026151,1.155,2069437,2390199,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
1x4_ag_gemm_llama_2_7b_mlp_s32768,1x4,AG_GEMM,LLaMA-2-7B,mlp,32768,32768,2752,4096,32768,11008,4096,32768,12288,4096,0,1280,0,2954937499648,2954937499648,3298534883328,1.0,824633720832,201326592.0,201326592.0,201326592.0,0.025166336,0.133356847104,5.299017191219254,1d_ring,,,3072,4096,256,6,8,0.006442450944,0.10386564710400001,16.1220703125,flashoverlap_wave_schedule_contention,0.7982550902078289,1,131072.0,0.75,0.9304842103984707,0.7987142857142857,0.8571428571428571,0.006,0.006,0.01,0.015238013900009385,0.016001449914915037,2,4,2,16,8,0.67875,0.75,301989888,402653184,402653184,1107296256,fused_boundary_tile_replay_v1,6442450944,25165824.0,128,512,256,1536,8,1703936,3145728,133356847,132588321,32294350,31526684,0.133356847,0.132588321,0.03229435,0.031526684,1.0057963325442518,1.0243497222860483,4.129417281970376,4.205590445224115,4.229967445989562,1.018446467879699,1.155,31526684,36413320,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
1x4_ag_gemm_gpt_3_175b_attention_s2048,1x4,AG_GEMM,GPT-3-175B,attention,2048,2048,9216,12288,2048,36864,12288,2048,36864,12288,0,0,0,1855425871872,1855425871872,1855425871872,1.0,463856467968,37748736.0,37748736.0,37748736.0,0.014156288,0.073096298496,5.1635215740171425,1d_ring,,,9216,12288,16,18,24,0.003623878656,0.058129514496,16.040690104166664,flashoverlap_wave_schedule_contention,0.7832678827327265,1,131072.0,0.75,0.9304842103984707,0.7834117647058824,0.5294117647058824,0.006,0.006,0.003999999999999999,0.015081102044713295,0.015327421064553568,2,4,2,16,24,0.8145,0.9,56623104,75497472,75497472,207618048,fused_boundary_tile_replay_v1,3623878656,14155776.0,128,512,256,288,8,1703936,3145728,73096298,72952763,18216850,18073367,0.073096298,0.072952763,0.01821685,0.018073367,1.0019675060148168,1.0079389191842338,4.012565180039359,4.036478814379191,4.044420610725163,1.0059596874485157,1.155,18073367,20874738,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
1x4_ag_gemm_gpt_3_175b_attention_s32768,1x4,AG_GEMM,GPT-3-175B,attention,32768,32768,9216,12288,32768,36864,12288,32768,36864,12288,0,0,0,29686813949952,29686813949952,29686813949952,1.0,7421703487488,603979776.0,603979776.0,603979776.0,0.226492928,1.169540775936,5.163696660480277,1d_ring,,,9216,12288,256,18,24,0.057982058496,0.930072231936,16.040690104166664,flashoverlap_wave_schedule_contention,0.8104282479595928,1,131072.0,0.75,0.9304842103984707,0.8105789473684211,0.9473684210526315,0.006,0.006,0.003999999999999999,0.015081102044713295,0.015338775384553638,2,4,2,16,24,0.8145,0.9,905969664,1207959552,1207959552,3321888768,fused_boundary_tile_replay_v1,57982058496,226492416.0,128,512,256,4608,8,1703936,3145728,1169540776,1167233199,281779847,279473141,1.169540776,1.167233199,0.281779847,0.279473141,1.0019769631312552,1.0082537663252584,4.150547984363126,4.176548754644011,4.184805637547831,1.0062644186692553,1.155,279473141,322791478,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
1x4_ag_gemm_gpt_3_175b_mlp_s2048,1x4,AG_GEMM,GPT-3-175B,mlp,2048,2048,12288,12288,2048,49152,12288,2048,49152,12288,0,0,0,2473901162496,2473901162496,2473901162496,1.0,618475290624,37748736.0,37748736.0,37748736.0,0.018874752,0.09741257932799999,5.160999165869835,1d_ring,,,12288,12288,16,24,48,0.004831838208,0.077456867328,16.030517578125,flashoverlap_wave_schedule_contention,0.7918894658162907,1,98304.0,0.7424999999999999,0.9304842103984707,0.792,0.6,0.0,0.012,0.0,0.015061440942964618,0.01525076549470239,2,8,1,16,48,0.92,1.0,176160768,100663296,0,276824064,fused_boundary_tile_replay_v1,4831838208,18874368.0,128,512,256,384,8,1703936,3145728,97412579,97268894,23978729,23835084,0.097412579,0.097268894,0.023978729,0.023835084,1.001477193726496,1.0060266202544115,4.062457980988067,4.080912574086167,4.086940872538985,1.0045427160562561,1.155,23835084,27529521,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
1x4_ag_gemm_gpt_3_175b_mlp_s32768,1x4,AG_GEMM,GPT-3-175B,mlp,32768,32768,12288,12288,32768,49152,12288,32768,49152,12288,0,0,0,39582418599936,39582418599936,39582418599936,1.0,9895604649984,603979776.0,603979776.0,603979776.0,0.301990272,1.5586012692479998,5.161097603991694,1d_ring,,,12288,12288,256,24,48,0.077309411328,1.239309877248,16.030517578125,flashoverlap_wave_schedule_contention,0.8152851119633047,1,98304.0,0.7424999999999999,0.9304842103984707,0.8154,0.96,0.0,0.012,0.0,0.015061440942964618,0.015258174475227686,2,8,1,16,48,0.92,1.0,2818572288,1610612736,0,4429185024,fused_boundary_tile_replay_v1,77309411328,301989888.0,128,512,256,6144,8,1703936,3145728,1558601269,1556293962,372717265,370410630,1.558601269,1.556293962,0.372717265,0.37041063,1.0014825650271333,1.0062272375930463,4.181725440059773,4.201536986128071,4.2077660379239115,1.004737648693649,1.155,370410630,427824278,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
1x4_ag_gemm_llama_3_8b_attention_s2048,1x4,AG_GEMM,LLaMA-3-8B,attention,2048,2048,1536,4096,2048,6144,4096,2048,6144,4096,0,0,0,103079215104,103079215104,103079215104,1.0,25769803776,12582912.0,12582912.0,12582912.0,0.000787456,0.004265705472,5.417071521456437,1d_ring,,,1536,4096,16,3,8,0.000201326592,0.003270377472,16.244140625,flashoverlap_wave_schedule_contention,0.7524065581688704,1,262144.0,0.78,0.9304842103984707,0.7532631578947369,0.15789473684210525,0.006,0.006,0.01,0.015449715651473322,0.01681627315798612,4,2,2,16,8,0.67875,0.75,3145728,37748736,12582912,53477376,fused_boundary_tile_replay_v1,201326592,786432.0,128,512,256,48,8,1703936,3145728,4265705,4219011,1093186,1046583,0.004265705,0.004219011,0.001093186,0.001046583,1.0110675226966699,1.0445287186969405,3.9020852810043305,4.031224470491113,4.075840138813644,1.0330949172524349,1.155,1046583,1208804,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
1x4_ag_gemm_llama_3_8b_attention_s32768,1x4,AG_GEMM,LLaMA-3-8B,attention,32768,32768,1536,4096,32768,6144,4096,32768,6144,4096,0,0,0,1649267441664,1649267441664,1649267441664,1.0,412316860416,201326592.0,201326592.0,201326592.0,0.012583936,0.068251287552,5.423683619497111,1d_ring,,,1536,4096,256,3,8,0.003221225472,0.052326039552,16.244140625,flashoverlap_wave_schedule_contention,0.7908324856706879,1,262144.0,0.78,0.9304842103984707,0.79175,0.75,0.006,0.006,0.01,0.015449715651473322,0.01690907288875592,4,2,2,16,8,0.67875,0.75,50331648,603979776,201326592,855638016,fused_boundary_tile_replay_v1,3221225472,12582912.0,128,512,256,768,8,1703936,3145728,68251288,67483007,16678964,15912265,0.068251288,0.067483007,0.016678964,0.015912265,1.011384806844781,1.0481828953954702,4.092057995928284,4.240942882738567,4.289225198298293,1.0363838652722974,1.155,15912265,18378666,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
