case_id,operator,placement,placement_label,physical_mesh,member_coordinates,model,seq_len,hidden_size,expert_intermediate_size,top_k,expert_count,ep_rows,ep_columns,ep_size,balanced_routing_assumption,logical_assignment_count,rank_logical_M,runtime_M,logical_N,logical_K,runtime_N,runtime_K,Tm,Tn,Tk,tile_M,tile_N,tile_K,tile_live_bytes,sram_capacity_bytes,logical_flops,runtime_flops,runtime_flops_over_logical_flops,hbm_bytes_per_die,hbm_cycles,modeled_hbm_cycles,hbm_included,memory_mode,hbm_traffic_model,intra_pm,intra_pn,intra_pk,intra_compute_efficiency,intra_spatial_utilization,compute_cycles,a_broadcast_bytes,b_broadcast_bytes,reduction_bytes,local_transport_bytes,local_transport_serial_cycles,local_transport_cycles,intra_core_mapping_order,local_noc_max_directed_link_bytes,local_noc_total_byte_hops,local_noc_physical_links_used,intra_stage_cycles,logical_hops,max_path_hops,d2d_link_bandwidth_Bps_per_direction,noc_link_bandwidth_Bps,d2d_attached_noc_links,d2d_injection_bandwidth_Bps,max_flow_contention,external_ep_group_flow_count,effective_bandwidth_Bps,runtime_comm_bytes_per_die,runtime_comm_byte_hops_per_die,max_directed_link_bytes,d2d_link_cycles,noc_injection_cycles,segment_bytes,segmented_comm_efficiency,route_efficiency,comm_ideal_cycles,comm_actual_cycles,comm_fused_stream_cycles,comm_unfused_cycles,unfused_comm_efficiency,unfused_setup_cycles,inter_pipeline_waves,die_tensor_flops,core_tensor_flops,die_vector_flops,core_vector_flops,vector_ops,post_gemm_vector_cycles,combine_reduce_bytes,combine_reduce_noc_max_directed_link_bytes,combine_reduce_noc_total_byte_hops,combine_reduce_noc_physical_links_used,combine_reduce_noc_serial_cycles,combine_reduce_noc_cycles,combine_reduce_vector_cycles,combine_reduce_cycles,compute_ideal_cycles,compute_single_core_cycles,baseline_intra_pm,baseline_intra_pn,baseline_intra_pk,baseline_compute_cycles,baseline_local_transport_bytes,baseline_local_transport_serial_cycles,baseline_local_transport_cycles,baseline_local_noc_max_directed_link_bytes,baseline_local_noc_total_byte_hops,baseline_local_noc_physical_links_used,baseline_intra_core_mapping_order,baseline_core_schedule_efficiency,intra_naive_cycles,intra_optimized_cycles,intra_actual_cycles,core_schedule_efficiency,t10_stage_balance,t11_stage_balance,stage_balance,fusion_setup_cycles,T10_inter_algorithm,T11_inter_algorithm,inter_dependency_order,inter_transport_output_blocks,inter_packet_count,inter_action_count,inter_physical_slots,inter_unroll_degree,inter_double_buffer,inter_physical_hops,inter_packet_overhead_cycles,inter_network_per_wave_cycles,inter_compute_per_wave_cycles,inter_reduce_per_wave_cycles,inter_steady_cycles,inter_candidate_count,T10_candidate_cycles,T11_candidate_cycles,T00_cycles,T10_cycles,T01_cycles,T11_cycles,naive_cycles,optimized_cycles,theory_optimized_cycles,architecture_upper_cycles,theory_naive_cycles,theory_intra_floor_cycles,theory_core_floor_cycles,naive_time,optimized_time,theory_time,naive_tflops,optimized_tflops,inter_speedup_without_intra,inter_speedup_with_intra,intra_speedup_without_inter,intra_speedup_with_inter,total_speedup,synergy,actual_speedup,theory_speedup,theory_attainment_rate,algorithmic_comp_cycles,algorithmic_comm_cycles,algorithmic_naive_cycles,algorithmic_floor_cycles,algorithmic_theory_speedup,theory_floor_correction,inter_schedule_source,inter_duration_source,intra_schedule_source,estimate_source,status,error
dispatch_gemm__compact__mixtral_8x7b__s2304,DISPATCH_GEMM,compact,Compact / adjacent,2x2,"[[0, 0], [0, 1], [1, 0], [1, 1]]",Mixtral-8x7B,2304,4096,14336,2,8,2,2,4,True,4608,1152,1152,14336,4096,14336,4096,9,28,16,128,512,256,1703936,3145728,541165879296,541165879296,1.0,1056964608,4128767.9999999995,4128767.9999999995,True,architecture,fused_boundary_tile_replay_v1,2,4,2,0.8145,0.9,83051.85379005525,49545216,66060288,66060288,181665792,709632.0,64511.99999999999,kmn,16515072.0,297271296.0,32,4128767.9999999995,2,2,1000000000000.0,256000000000.0,4,1000000000000.0,1,1,1000000000000.0,9437184,12582912.0,6291456.0,6291.456,9437.184,1048576.0,0.86,0.96,9437.184,11430.697674418603,11430.697674418603,31170.90909090909,0.8448,20000,9,2000000000000000.0,125000000000000.0,60000000000000.0,3750000000000.0,66060288,1101.0048,0,0.0,0.0,0,0.0,0.0,0.0,0.0,67645.734912,1082331.758592,4,4,1,98037.29697391303,247726080,967680.0,193536.0,49545216.0,495452160.0,24,mnk,0.778244094488189,4504838.058027731,4130177.296796952,4130177.296796952,0.781244094488189,0.0025374269900887603,0.0027676045973337206,0.0027676045973337206,12000,direct_xy_personalized_a2a,direct_xy_personalized_a2a,COMM->WAIT->GEMM->SWIGLU,1,9,18,12,1,False,2,14.0,1284.0775193798447,458908.5885329947,0.0,4131461.3743163315,3,"{""direct_xy_personalized_a2a"": 4518122.135547111, ""comet_mesh_personalized_a2a_u1"": 4518136.135547111, ""comet_mesh_personalized_a2a_u2_db"": 4518136.135547111}","{""direct_xy_personalized_a2a"": 4143461.3743163315, ""comet_mesh_personalized_a2a_u1"": 4143475.3743163315, ""comet_mesh_personalized_a2a_u2_db"": 4143475.3743163315}",4536009,4518122,4161348,4143461,4536009,4143461,4129817,4129817,4536009,4128767.9999999995,4128767.9999999995,0.004536009,0.004143461,0.004129817,119.30441039601112,130.6072095998973,1.0039589457743727,1.0043169224954693,1.090033566046387,1.0904222339729999,1.0947391564684692,1.000356565099204,1.0947391564684692,1.098355931994081,0.9967071006581214,67645.734912,9437.184,77082.918912,67645.734912,1.1395089285714284,max_not_min,production_moe_swizzle_template,provisional_cost_constants_analytical_scaling,fixed_4x4x1_vs_exp1_1_adaptive_16core,operator_specific_dag_extrapolation,estimated_via_operator_specific_dag_replay,
dispatch_gemm__compact__mixtral_8x7b__s36864,DISPATCH_GEMM,compact,Compact / adjacent,2x2,"[[0, 0], [0, 1], [1, 0], [1, 1]]",Mixtral-8x7B,36864,4096,14336,2,8,2,2,4,True,73728,18432,18432,14336,4096,14336,4096,144,28,16,128,512,256,1703936,3145728,8658654068736,8658654068736,1.0,16911433728,66060287.99999999,66060287.99999999,True,architecture,fused_boundary_tile_replay_v1,2,4,2,0.905,1.0,1195946.6945767957,792723456,1056964608,1056964608,2906652672,11354112.0,1032191.9999999999,kmn,264241152.0,4756340736.0,32,66060287.99999999,2,2,1000000000000.0,256000000000.0,4,1000000000000.0,1,1,1000000000000.0,150994944,201326592.0,100663296.0,100663.296,150994.944,1048576.0,0.86,0.96,150994.944,182891.16279069765,182891.16279069765,198734.54545454544,0.8448,20000,144,2000000000000000.0,125000000000000.0,60000000000000.0,3750000000000.0,1056964608,17616.0768,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1082331.758592,17317308.137472,4,4,1,1176447.5636869564,3963617280,15482880.0,3096576.0,792723456.0,7927234560.0,24,mnk,0.8171194029850747,71311221.49247676,66081926.197954014,66081926.197954014,0.8141194029850747,0.0025646898056569177,0.002767642732489844,0.002767642732489844,12000,direct_xy_personalized_a2a,direct_xy_personalized_a2a,COMM->WAIT->GEMM->SWIGLU,1,144,288,12,1,False,2,14.0,1284.0775193798447,458902.26526356954,0.0,66083210.27547354,3,"{""direct_xy_personalized_a2a"": 71324505.56999631, ""comet_mesh_personalized_a2a_u1"": 71324519.56999631, ""comet_mesh_personalized_a2a_u2_db"": 71324519.56999631}","{""direct_xy_personalized_a2a"": 66095210.27547354, ""comet_mesh_personalized_a2a_u1"": 66095224.27547354, ""comet_mesh_personalized_a2a_u2_db"": 66095224.27547354}",71509956,71324506,66280661,66095210,71509956,66095210,66061337,66061337,71509956,66060287.99999999,66060287.99999999,0.071509956,0.06609521,0.066061337,121.08319670530912,131.00274692728868,1.0026000881099688,1.0028058160341726,1.0788962409412302,1.0791176244087886,1.0819234253132715,1.0002051944006822,1.0819234253132715,1.0824781823595244,0.9994875120299942,1082331.758592,150994.944,1233326.702592,1082331.758592,1.1395089285714284,max_not_min,production_moe_swizzle_template,provisional_cost_constants_analytical_scaling,fixed_4x4x1_vs_exp1_1_adaptive_16core,operator_specific_dag_extrapolation,estimated_via_operator_specific_dag_replay,
dispatch_gemm__compact__deepseek_v3__s2304,DISPATCH_GEMM,compact,Compact / adjacent,2x2,"[[0, 0], [0, 1], [1, 0], [1, 1]]",DeepSeek-V3,2304,7168,2048,8,256,2,2,4,True,18432,4608,4608,2048,7168,2048,7168,36,4,28,128,512,256,1703936,3145728,541165879296,541165879296,1.0,1056964608,4128767.9999999995,4128767.9999999995,True,architecture,fused_boundary_tile_replay_v1,2,4,2,0.905,1.0,74746.66841104973,28311552,37748736,37748736,103809024,405504.0,36864.0,kmn,9437184.0,169869312.0,32,4128767.9999999995,2,2,1000000000000.0,256000000000.0,4,1000000000000.0,1,1,1000000000000.0,66060288,88080384.0,44040192.0,44040.191999999995,66060.288,1835008.0,0.86,0.96,66060.288,80014.88372093023,80014.88372093023,110196.36363636363,0.8448,32000,36,2000000000000000.0,125000000000000.0,60000000000000.0,3750000000000.0,37748736,629.1456,0,0.0,0.0,0,0.0,0.0,0.0,0.0,67645.734912,1082331.758592,4,4,1,73527.97273043478,141557760,552960.0,110592.0,28311552.0,283115520.0,24,mnk,0.7794,4365808.182615389,4129578.3369397214,4129578.3369397214,0.7764,0.01832762237231329,0.019376042102212866,0.019376042102212866,24000,direct_xy_personalized_a2a,direct_xy_personalized_a2a,COMM->WAIT->GEMM->SWIGLU,1,36,72,12,1,False,2,14.0,2236.6356589147285,114710.5093594367,0.0,4131814.9725986347,3,"{""direct_xy_personalized_a2a"": 4392044.818274302, ""comet_mesh_personalized_a2a_u1"": 4392058.818274302, ""comet_mesh_personalized_a2a_u2_db"": 4392058.818274302}","{""direct_xy_personalized_a2a"": 4155814.9725986347, ""comet_mesh_personalized_a2a_u1"": 4155828.9725986347, ""comet_mesh_personalized_a2a_u2_db"": 4155828.9725986347}",4476005,4392045,4239775,4155815,4476005,4155815,4130603,4130603,4476005,4128767.9999999995,4128767.9999999995,0.004476005,0.004155815,0.004130603,120.90377005745079,130.21895327294405,1.019116379727439,1.0202030167367893,1.0557175793526778,1.0568432425408734,1.0770462592776628,1.0010662540912558,1.0770462592776628,1.0836202365611025,0.9939333199384478,67645.734912,66060.288,133706.02291200001,67645.734912,1.9765625000000002,max_not_min,production_moe_swizzle_template,provisional_cost_constants_analytical_scaling,fixed_4x4x1_vs_exp1_1_adaptive_16core,operator_specific_dag_extrapolation,estimated_via_operator_specific_dag_replay,
dispatch_gemm__compact__deepseek_v3__s36864,DISPATCH_GEMM,compact,Compact / adjacent,2x2,"[[0, 0], [0, 1], [1, 0], [1, 1]]",DeepSeek-V3,36864,7168,2048,8,256,2,2,4,True,294912,73728,73728,2048,7168,2048,7168,576,4,28,128,512,256,1703936,3145728,8658654068736,8658654068736,1.0,16911433728,66060287.99999999,66060287.99999999,True,architecture,fused_boundary_tile_replay_v1,2,4,2,0.905,1.0,1195946.6945767957,452984832,603979776,603979776,1660944384,6488064.0,589824.0,kmn,150994944.0,2717908992.0,32,66060287.99999999,2,2,1000000000000.0,256000000000.0,4,1000000000000.0,1,1,1000000000000.0,1056964608,1409286144.0,704643072.0,704643.0719999999,1056964.608,1835008.0,0.86,0.96,1056964.608,1280238.1395348837,1280238.1395348837,1283141.8181818181,0.8448,32000,576,2000000000000000.0,125000000000000.0,60000000000000.0,3750000000000.0,603979776,10066.3296,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1082331.758592,17317308.137472,4,4,1,1176447.5636869564,2264924160,8847360.0,1769472.0,452984832.0,4529848320.0,24,mnk,0.8145,69689491.06112577,66072692.59593345,66072692.59593345,0.8115,0.018370605381691857,0.019376206557286238,0.019376206557286238,24000,direct_xy_personalized_a2a,direct_xy_personalized_a2a,COMM->WAIT->GEMM->SWIGLU,1,576,1152,12,1,False,2,14.0,2236.6356589147285,114709.5357568289,0.0,66074929.23159179,3,"{""direct_xy_personalized_a2a"": 69715727.69678555, ""comet_mesh_personalized_a2a_u1"": 69715741.69678555, ""comet_mesh_personalized_a2a_u2_db"": 69715741.69678555}","{""direct_xy_personalized_a2a"": 66098929.23159179, ""comet_mesh_personalized_a2a_u1"": 66098943.23159179, ""comet_mesh_personalized_a2a_u2_db"": 66098943.23159179}",70972633,69715728,67355834,66098929,70972633,66098929,66062123,66062123,70972633,66060287.99999999,66060287.99999999,0.070972633,0.066098929,0.066062123,121.99989915459388,130.99537616919633,1.0180290020065486,1.019015512339088,1.053696892833366,1.0547179667616098,1.0737334791006976,1.0009690395171404,1.0737334791006976,1.0743317013896148,0.9994431679823435,1082331.758592,1056964.608,2139296.3665920002,1082331.758592,1.9765625000000002,max_not_min,production_moe_swizzle_template,provisional_cost_constants_analytical_scaling,fixed_4x4x1_vs_exp1_1_adaptive_16core,operator_specific_dag_extrapolation,estimated_via_operator_specific_dag_replay,
dispatch_gemm__noncompact__mixtral_8x7b__s2304,DISPATCH_GEMM,noncompact,Non-compact / corners,4x4,"[[0, 0], [0, 3], [3, 0], [3, 3]]",Mixtral-8x7B,2304,4096,14336,2,8,2,2,4,True,4608,1152,1152,14336,4096,14336,4096,9,28,16,128,512,256,1703936,3145728,541165879296,541165879296,1.0,1056964608,4128767.9999999995,4128767.9999999995,True,architecture,fused_boundary_tile_replay_v1,2,4,2,0.8145,0.9,83051.85379005525,49545216,66060288,66060288,181665792,709632.0,64511.99999999999,kmn,16515072.0,297271296.0,32,4128767.9999999995,2,6,1000000000000.0,256000000000.0,4,1000000000000.0,3,3,333333333333.3333,9437184,37748736.0,6291456.0,18874.368000000002,9437.184,1048576.0,0.86,0.9,18874.368000000002,24385.488372093027,24385.488372093027,51831.27272727273,0.792,28000,9,2000000000000000.0,125000000000000.0,60000000000000.0,3750000000000.0,66060288,1101.0048,0,0.0,0.0,0,0.0,0.0,0.0,0.0,67645.734912,1082331.758592,4,4,1,98037.29697391303,247726080,967680.0,193536.0,49545216.0,495452160.0,24,mnk,0.778244094488189,4504838.058027731,4130177.296796952,4130177.296796952,0.781244094488189,0.005413177578856024,0.005904223140978606,0.005904223140978606,16000,direct_xy_personalized_a2a,direct_xy_personalized_a2a,COMM->WAIT->GEMM->SWIGLU,1,9,18,12,1,False,6,18.0,2727.4987080103365,458908.5885329947,0.0,4132904.7955049616,1,"{""direct_xy_personalized_a2a"": 4523565.556735742}","{""direct_xy_personalized_a2a"": 4148904.7955049616}",4556669,4523566,4182009,4148905,4556669,4148905,4130865,4130865,4556669,4128767.9999999995,4128767.9999999995,0.004556669,0.004148905,0.004130865,118.76348255622692,130.43583289952412,1.0073178991972263,1.0079789727651032,1.0895885207324996,1.090303586126942,1.0982823178645933,1.0006562710425415,1.0982823178645933,1.1030786530181935,0.995651864769138,67645.734912,18874.368000000002,86520.102912,67645.734912,1.2790178571428572,max_not_min,production_moe_swizzle_template,provisional_cost_constants_analytical_scaling,fixed_4x4x1_vs_exp1_1_adaptive_16core,operator_specific_dag_extrapolation,estimated_via_operator_specific_dag_replay,
dispatch_gemm__noncompact__mixtral_8x7b__s36864,DISPATCH_GEMM,noncompact,Non-compact / corners,4x4,"[[0, 0], [0, 3], [3, 0], [3, 3]]",Mixtral-8x7B,36864,4096,14336,2,8,2,2,4,True,73728,18432,18432,14336,4096,14336,4096,144,28,16,128,512,256,1703936,3145728,8658654068736,8658654068736,1.0,16911433728,66060287.99999999,66060287.99999999,True,architecture,fused_boundary_tile_replay_v1,2,4,2,0.905,1.0,1195946.6945767957,792723456,1056964608,1056964608,2906652672,11354112.0,1032191.9999999999,kmn,264241152.0,4756340736.0,32,66060287.99999999,2,6,1000000000000.0,256000000000.0,4,1000000000000.0,3,3,333333333333.3333,150994944,603979776.0,100663296.0,301989.88800000004,150994.944,1048576.0,0.86,0.9,301989.88800000004,390167.8139534884,390167.8139534884,409300.36363636365,0.792,28000,144,2000000000000000.0,125000000000000.0,60000000000000.0,3750000000000.0,1056964608,17616.0768,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1082331.758592,17317308.137472,4,4,1,1176447.5636869564,3963617280,15482880.0,3096576.0,792723456.0,7927234560.0,24,mnk,0.8171194029850747,71311221.49247676,66081926.197954014,66081926.197954014,0.8141194029850747,0.005471338252068093,0.005904304495978336,0.005904304495978336,16000,direct_xy_personalized_a2a,direct_xy_personalized_a2a,COMM->WAIT->GEMM->SWIGLU,1,144,288,12,1,False,6,18.0,2727.4987080103365,458902.26526356954,0.0,66084653.69666217,1,"{""direct_xy_personalized_a2a"": 71329948.99118495}","{""direct_xy_personalized_a2a"": 66100653.69666217}",71720522,71329949,66491227,66100654,71720522,66100654,66062385,66062385,71720522,66060287.99999999,66060287.99999999,0.071720522,0.066100654,0.066062385,120.72770564519875,130.9919576398745,1.0054755822130197,1.0059087615078666,1.0786463904478707,1.0791110932124817,1.0850198547203482,1.0004308203028596,1.0850198547203482,1.0856483912895365,0.9994210496011129,1082331.758592,301989.88800000004,1384321.646592,1082331.758592,1.2790178571428572,max_not_min,production_moe_swizzle_template,provisional_cost_constants_analytical_scaling,fixed_4x4x1_vs_exp1_1_adaptive_16core,operator_specific_dag_extrapolation,estimated_via_operator_specific_dag_replay,
dispatch_gemm__noncompact__deepseek_v3__s2304,DISPATCH_GEMM,noncompact,Non-compact / corners,4x4,"[[0, 0], [0, 3], [3, 0], [3, 3]]",DeepSeek-V3,2304,7168,2048,8,256,2,2,4,True,18432,4608,4608,2048,7168,2048,7168,36,4,28,128,512,256,1703936,3145728,541165879296,541165879296,1.0,1056964608,4128767.9999999995,4128767.9999999995,True,architecture,fused_boundary_tile_replay_v1,2,4,2,0.905,1.0,74746.66841104973,28311552,37748736,37748736,103809024,405504.0,36864.0,kmn,9437184.0,169869312.0,32,4128767.9999999995,2,6,1000000000000.0,256000000000.0,4,1000000000000.0,3,3,333333333333.3333,66060288,264241152.0,44040192.0,132120.576,66060.288,1835008.0,0.86,0.9,132120.576,170698.41860465115,170698.41860465115,206818.9090909091,0.792,40000,36,2000000000000000.0,125000000000000.0,60000000000000.0,3750000000000.0,37748736,629.1456,0,0.0,0.0,0,0.0,0.0,0.0,0.0,67645.734912,1082331.758592,4,4,1,73527.97273043478,141557760,552960.0,110592.0,28311552.0,283115520.0,24,mnk,0.7794,4365808.182615389,4129578.3369397214,4129578.3369397214,0.7764,0.03909892772760168,0.04133555648472078,0.04133555648472078,28000,direct_xy_personalized_a2a,direct_xy_personalized_a2a,COMM->WAIT->GEMM->SWIGLU,1,36,72,12,1,False,6,18.0,4759.6227390180875,114710.5093594367,0.0,4134337.959678738,1,"{""direct_xy_personalized_a2a"": 4398567.805354406}","{""direct_xy_personalized_a2a"": 4162337.959678738}",4572627,4398568,4336397,4162338,4572627,4162338,4132438,4132438,4572627,4128767.9999999995,4128767.9999999995,0.004572627,0.004162338,0.004132438,118.34901016330437,130.01488089049954,1.0395717424398123,1.041817603471895,1.054476100781363,1.056754160762533,1.098571764234428,1.0021603713725535,1.098571764234428,1.1065204124054613,0.9928165372442124,67645.734912,132120.576,199766.31091200002,132120.576,1.512,max_not_min,production_moe_swizzle_template,provisional_cost_constants_analytical_scaling,fixed_4x4x1_vs_exp1_1_adaptive_16core,operator_specific_dag_extrapolation,estimated_via_operator_specific_dag_replay,
dispatch_gemm__noncompact__deepseek_v3__s36864,DISPATCH_GEMM,noncompact,Non-compact / corners,4x4,"[[0, 0], [0, 3], [3, 0], [3, 3]]",DeepSeek-V3,36864,7168,2048,8,256,2,2,4,True,294912,73728,73728,2048,7168,2048,7168,576,4,28,128,512,256,1703936,3145728,8658654068736,8658654068736,1.0,16911433728,66060287.99999999,66060287.99999999,True,architecture,fused_boundary_tile_replay_v1,2,4,2,0.905,1.0,1195946.6945767957,452984832,603979776,603979776,1660944384,6488064.0,589824.0,kmn,150994944.0,2717908992.0,32,66060287.99999999,2,6,1000000000000.0,256000000000.0,4,1000000000000.0,3,3,333333333333.3333,1056964608,4227858432.0,704643072.0,2113929.216,1056964.608,1835008.0,0.86,0.9,2113929.216,2731174.6976744183,2731174.6976744183,2709102.5454545454,0.792,40000,576,2000000000000000.0,125000000000000.0,60000000000000.0,3750000000000.0,603979776,10066.3296,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1082331.758592,17317308.137472,4,4,1,1176447.5636869564,2264924160,8847360.0,1769472.0,452984832.0,4529848320.0,24,mnk,0.8145,69689491.06112577,66072692.59593345,66072692.59593345,0.8115,0.03919062481427596,0.04133590732221064,0.04133590732221064,28000,direct_xy_personalized_a2a,direct_xy_personalized_a2a,COMM->WAIT->GEMM->SWIGLU,1,576,1152,12,1,False,6,18.0,4759.6227390180875,114709.5357568289,0.0,66077452.218671896,1,"{""direct_xy_personalized_a2a"": 69722250.68386567}","{""direct_xy_personalized_a2a"": 66105452.218671896}",72398594,69722251,68781795,66105452,72398594,66105452,66063958,66063958,72398594,66060287.99999999,66060287.99999999,0.072398594,0.066105452,0.066063958,119.59699201804942,130.98245011222375,1.0383857801722438,1.0404859647582472,1.0525836669426845,1.0547125674293854,1.0951985321876325,1.0020225475214568,1.0951985321876325,1.0958864135872695,0.9993723059332534,1082331.758592,2113929.216,3196260.9745920002,2113929.216,1.512,max_not_min,production_moe_swizzle_template,provisional_cost_constants_analytical_scaling,fixed_4x4x1_vs_exp1_1_adaptive_16core,operator_specific_dag_extrapolation,estimated_via_operator_specific_dag_replay,
gemm_combine__compact__mixtral_8x7b__s2304,GEMM_COMBINE,compact,Compact / adjacent,2x2,"[[0, 0], [0, 1], [1, 0], [1, 1]]",Mixtral-8x7B,2304,4096,14336,2,8,2,2,4,True,4608,1152,1152,4096,14336,4096,14336,9,8,56,128,512,256,1703936,3145728,541165879296,541165879296,1.0,1321205760,5160960.0,5160960.0,True,architecture,fused_boundary_tile_replay_v1,2,4,2,0.8145,0.9,83051.85379005525,14155776,18874368,18874368,51904512,202752.0,18432.0,kmn,4718592.0,84934656.0,32,5160960.0,2,2,1000000000000.0,256000000000.0,4,1000000000000.0,1,1,1000000000000.0,9437184,12582912.0,6291456.0,6291.456,9437.184,524288.0,0.86,0.96,9437.184,11430.697674418603,11430.697674418603,35170.90909090909,0.8448,24000,18,2000000000000000.0,125000000000000.0,60000000000000.0,3750000000000.0,7077888,0.0,9437184,589824.0,17694720.0,30,36864.0,2304.0,117.9648,2304.0,67645.734912,1082331.758592,4,4,1,98037.29697391303,70778880,276480.0,55296.0,14155776.0,141557760.0,24,mnk,0.7602682926829268,5364947.140609234,5163264.0,5163264.0,0.7632682926829268,0.0021306263370044227,0.002213851097758821,0.002213851097758821,16000,direct_xy_personalized_a2a,direct_xy_personalized_a2a,DOWN_GEMM->COMM->TOPK_JOIN->WEIGHTED_COMBINE,2,18,54,12,1,False,2,14.0,649.0387596899224,286720.0,128.0,5161737.03875969,3,"{""direct_xy_personalized_a2a"": 5379420.179368923, ""comet_mesh_personalized_a2a_u1"": 5379434.179368923, ""comet_mesh_personalized_a2a_u2_db"": 5379434.179368923}","{""direct_xy_personalized_a2a"": 5177737.03875969, ""comet_mesh_personalized_a2a_u1"": 5177751.03875969, ""comet_mesh_personalized_a2a_u2_db"": 5177751.03875969}",5400118,5379420,5198435,5177737,5400118,5177737,5161612,5161612,5400118,5163264.0,5160960.0,0.005400118,0.005177737,0.005161612,100.21371371810764,104.5178384487277,1.0038476266958147,1.0039974992936103,1.0387968686729756,1.03895195912809,1.0429494584217005,1.0001492981542317,1.0429494584217005,1.0462076576077397,0.9968857050869907,67645.734912,9437.184,77082.918912,67645.734912,1.1395089285714284,max_not_min,production_moe_swizzle_template,provisional_cost_constants_analytical_scaling,fixed_4x4x1_vs_exp1_1_adaptive_16core,operator_specific_dag_extrapolation,estimated_via_operator_specific_dag_replay,
gemm_combine__compact__mixtral_8x7b__s36864,GEMM_COMBINE,compact,Compact / adjacent,2x2,"[[0, 0], [0, 1], [1, 0], [1, 1]]",Mixtral-8x7B,36864,4096,14336,2,8,2,2,4,True,73728,18432,18432,4096,14336,4096,14336,144,8,56,128,512,256,1703936,3145728,8658654068736,8658654068736,1.0,21139292160,82575360.0,82575360.0,True,architecture,fused_boundary_tile_replay_v1,2,4,2,0.905,1.0,1195946.6945767957,226492416,301989888,301989888,830472192,3244032.0,294912.0,kmn,75497472.0,1358954496.0,32,82575360.0,2,2,1000000000000.0,256000000000.0,4,1000000000000.0,1,1,1000000000000.0,150994944,201326592.0,100663296.0,100663.296,150994.944,524288.0,0.86,0.96,150994.944,182891.16279069765,182891.16279069765,202734.54545454544,0.8448,24000,288,2000000000000000.0,125000000000000.0,60000000000000.0,3750000000000.0,113246208,0.0,150994944,9437184.0,283115520.0,30,589824.0,36864.0,1887.4368,36864.0,1082331.758592,17317308.137472,4,4,1,1176447.5636869564,1132462080,4423680.0,884736.0,226492416.0,2264924160.0,24,mnk,0.8091818181818182,85159468.04005803,82612224.0,82612224.0,0.8061818181818182,0.002147631578730245,0.002213851097758821,0.002213851097758821,16000,direct_xy_personalized_a2a,direct_xy_personalized_a2a,DOWN_GEMM->COMM->TOPK_JOIN->WEIGHTED_COMBINE,2,288,864,12,1,False,2,14.0,649.0387596899224,286720.0,128.0,82576137.0387597,3,"{""direct_xy_personalized_a2a"": 85139381.07881744, ""comet_mesh_personalized_a2a_u1"": 85139395.07881743, ""comet_mesh_personalized_a2a_u2_db"": 85139395.07881743}","{""direct_xy_personalized_a2a"": 82592137.0387597, ""comet_mesh_personalized_a2a_u1"": 82592151.03875968, ""comet_mesh_personalized_a2a_u2_db"": 82592151.03875968}",85362203,85139381,82814959,82592137,85362203,82592137,82576012,82576012,85362203,82612224.0,82575360.0,0.085362203,0.082592137,0.082576012,101.43428548506415,104.83630020053847,1.0026171437633544,1.0026978597248306,1.0307582595071985,1.030841240976729,1.0335391007015595,1.0000805052676174,1.0335391007015595,1.0337409246646592,0.9998047634970386,1082331.758592,150994.944,1233326.702592,1082331.758592,1.1395089285714284,max_not_min,production_moe_swizzle_template,provisional_cost_constants_analytical_scaling,fixed_4x4x1_vs_exp1_1_adaptive_16core,operator_specific_dag_extrapolation,estimated_via_operator_specific_dag_replay,
