case_id,operator,placement,placement_label,physical_mesh,member_coordinates,model,seq_len,hidden_size,expert_intermediate_size,top_k,expert_count,ep_rows,ep_columns,ep_size,balanced_routing_assumption,logical_assignment_count,rank_logical_M,runtime_M,logical_N,logical_K,runtime_N,runtime_K,Tm,Tn,Tk,tile_M,tile_N,tile_K,tile_live_bytes,sram_capacity_bytes,logical_flops,runtime_flops,runtime_flops_over_logical_flops,hbm_bytes_per_die,hbm_cycles,modeled_hbm_cycles,hbm_included,memory_mode,hbm_traffic_model,intra_pm,intra_pn,intra_pk,intra_compute_efficiency,intra_spatial_utilization,compute_cycles,a_broadcast_bytes,b_broadcast_bytes,reduction_bytes,local_transport_bytes,local_transport_serial_cycles,local_transport_cycles,intra_core_mapping_order,local_noc_max_directed_link_bytes,local_noc_total_byte_hops,local_noc_physical_links_used,intra_stage_cycles,logical_hops,max_path_hops,d2d_link_bandwidth_Bps_per_direction,noc_link_bandwidth_Bps,d2d_attached_noc_links,d2d_injection_bandwidth_Bps,max_flow_contention,external_ep_group_flow_count,effective_bandwidth_Bps,runtime_comm_bytes_per_die,runtime_comm_byte_hops_per_die,max_directed_link_bytes,d2d_link_cycles,noc_injection_cycles,segment_bytes,segmented_comm_efficiency,route_efficiency,comm_ideal_cycles,comm_actual_cycles,comm_fused_stream_cycles,comm_unfused_cycles,unfused_comm_efficiency,unfused_setup_cycles,inter_pipeline_waves,die_tensor_flops,core_tensor_flops,die_vector_flops,core_vector_flops,vector_ops,post_gemm_vector_cycles,combine_reduce_bytes,combine_reduce_noc_max_directed_link_bytes,combine_reduce_noc_total_byte_hops,combine_reduce_noc_physical_links_used,combine_reduce_noc_serial_cycles,combine_reduce_noc_cycles,combine_reduce_vector_cycles,combine_reduce_cycles,compute_ideal_cycles,compute_single_core_cycles,baseline_intra_pm,baseline_intra_pn,baseline_intra_pk,baseline_compute_cycles,baseline_local_transport_bytes,baseline_local_transport_serial_cycles,baseline_local_transport_cycles,baseline_local_noc_max_directed_link_bytes,baseline_local_noc_total_byte_hops,baseline_local_noc_physical_links_used,baseline_intra_core_mapping_order,baseline_core_schedule_efficiency,intra_naive_cycles,intra_optimized_cycles,intra_actual_cycles,core_schedule_efficiency,t10_stage_balance,t11_stage_balance,stage_balance,fusion_setup_cycles,T10_inter_algorithm,T11_inter_algorithm,inter_dependency_order,inter_transport_output_blocks,inter_packet_count,inter_action_count,inter_physical_slots,inter_unroll_degree,inter_double_buffer,inter_physical_hops,inter_packet_overhead_cycles,inter_network_per_wave_cycles,inter_compute_per_wave_cycles,inter_reduce_per_wave_cycles,inter_steady_cycles,inter_candidate_count,T10_candidate_cycles,T11_candidate_cycles,T00_cycles,T10_cycles,T01_cycles,T11_cycles,naive_cycles,optimized_cycles,theory_optimized_cycles,architecture_upper_cycles,theory_naive_cycles,theory_intra_floor_cycles,theory_core_floor_cycles,naive_time,optimized_time,theory_time,naive_tflops,optimized_tflops,inter_speedup_without_intra,inter_speedup_with_intra,intra_speedup_without_inter,intra_speedup_with_inter,total_speedup,synergy,actual_speedup,theory_speedup,theory_attainment_rate,algorithmic_comp_cycles,algorithmic_comm_cycles,algorithmic_naive_cycles,algorithmic_floor_cycles,algorithmic_theory_speedup,theory_floor_correction,inter_schedule_source,inter_duration_source,intra_schedule_source,estimate_source,status,error
dispatch_gemm__compact__mixtral_8x7b__s2304,DISPATCH_GEMM,compact,Compact / adjacent,2x2,"[[0, 0], [0, 1], [1, 0], [1, 1]]",Mixtral-8x7B,2304,4096,14336,2,8,2,2,4,True,4608,1152,1152,14336,4096,14336,4096,9,28,16,128,512,256,1703936,3145728,541165879296,541165879296,1.0,1056964608,4128767.9999999995,0.0,False,hbm_free_compute_comm,fused_boundary_tile_replay_v1,2,4,2,0.8145,0.9,83051.85379005525,49545216,66060288,66060288,181665792,709632.0,64511.99999999999,kmn,16515072.0,297271296.0,32,106307.17643307682,2,2,1000000000000.0,256000000000.0,4,1000000000000.0,1,1,1000000000000.0,9437184,12582912.0,6291456.0,6291.456,9437.184,1048576.0,0.86,0.96,9437.184,11430.697674418603,11430.697674418603,31170.90909090909,0.8448,20000,9,2000000000000000.0,125000000000000.0,60000000000000.0,3750000000000.0,66060288,1101.0048,0,0.0,0.0,0,0.0,0.0,0.0,0.0,67645.734912,1082331.758592,4,4,1,98037.29697391303,247726080,967680.0,193536.0,49545216.0,495452160.0,24,mnk,0.778244094488189,376070.05802773207,107716.47323002899,107716.47323002899,0.781244094488189,0.030395128328923444,0.10611838033360319,0.10611838033360319,12000,direct_xy_personalized_a2a,direct_xy_personalized_a2a,COMM->WAIT->GEMM->SWIGLU,1,9,18,12,1,False,2,14.0,1284.0775193798447,11968.497025558776,0.0,109000.55074940884,3,"{""direct_xy_personalized_a2a"": 389354.13554711186, ""comet_mesh_personalized_a2a_u1"": 389368.13554711186, ""comet_mesh_personalized_a2a_u2_db"": 389368.13554711186}","{""direct_xy_personalized_a2a"": 121000.55074940884, ""comet_mesh_personalized_a2a_u1"": 121014.55074940884, ""comet_mesh_personalized_a2a_u2_db"": 121014.55074940884}",407241,389354,138887,121001,407241,121001,68694,68694,407241,67645.734912,67645.734912,0.000407241,0.000121001,6.8694e-05,1328.8590276912196,4472.408321385774,1.0459401983798806,1.1478169601904116,2.932175077581055,3.21777505971025,3.365600284295171,1.097402090452527,3.365600284295171,5.928334352345183,0.5677143164106082,67645.734912,9437.184,77082.918912,67645.734912,1.1395089285714284,max_not_min,production_moe_swizzle_template,provisional_cost_constants_analytical_scaling,fixed_4x4x1_vs_exp1_1_adaptive_16core,operator_specific_dag_extrapolation_hbm_free,estimated_via_operator_specific_dag_replay,
dispatch_gemm__compact__mixtral_8x7b__s36864,DISPATCH_GEMM,compact,Compact / adjacent,2x2,"[[0, 0], [0, 1], [1, 0], [1, 1]]",Mixtral-8x7B,36864,4096,14336,2,8,2,2,4,True,73728,18432,18432,14336,4096,14336,4096,144,28,16,128,512,256,1703936,3145728,8658654068736,8658654068736,1.0,16911433728,66060287.99999999,0.0,False,hbm_free_compute_comm,fused_boundary_tile_replay_v1,2,4,2,0.905,1.0,1195946.6945767957,792723456,1056964608,1056964608,2906652672,11354112.0,1032191.9999999999,kmn,264241152.0,4756340736.0,32,1469006.4997734996,2,2,1000000000000.0,256000000000.0,4,1000000000000.0,1,1,1000000000000.0,150994944,201326592.0,100663296.0,100663.296,150994.944,1048576.0,0.86,0.96,150994.944,182891.16279069765,182891.16279069765,198734.54545454544,0.8448,20000,144,2000000000000000.0,125000000000000.0,60000000000000.0,3750000000000.0,1056964608,17616.0768,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1082331.758592,17317308.137472,4,4,1,1176447.5636869564,3963617280,15482880.0,3096576.0,792723456.0,7927234560.0,24,mnk,0.8171194029850747,5250933.492476776,1490644.69772752,1490644.69772752,0.8141194029850747,0.03483021886541377,0.12269265980653489,0.12269265980653489,12000,direct_xy_personalized_a2a,direct_xy_personalized_a2a,COMM->WAIT->GEMM->SWIGLU,1,144,288,12,1,False,2,14.0,1284.0775193798447,10351.699289774444,0.0,1491928.7752469017,3,"{""direct_xy_personalized_a2a"": 5264217.569996156, ""comet_mesh_personalized_a2a_u1"": 5264231.569996156, ""comet_mesh_personalized_a2a_u2_db"": 5264231.569996156}","{""direct_xy_personalized_a2a"": 1503928.7752469017, ""comet_mesh_personalized_a2a_u1"": 1503942.7752469017, ""comet_mesh_personalized_a2a_u2_db"": 1503942.7752469017}",5449668,5264218,1689379,1503929,5449668,1503929,1083380,1083380,5449668,1082331.758592,1082331.758592,0.005449668,0.001503929,0.00108338,1588.84065391433,5757.3556123567,1.035228404294807,1.1233103424430275,3.2258409747013546,3.500310187515501,3.6236205299585285,1.0850845453841866,3.6236205299585285,5.03024608170725,0.7203664534695453,1082331.758592,150994.944,1233326.702592,1082331.758592,1.1395089285714284,max_not_min,production_moe_swizzle_template,provisional_cost_constants_analytical_scaling,fixed_4x4x1_vs_exp1_1_adaptive_16core,operator_specific_dag_extrapolation_hbm_free,estimated_via_operator_specific_dag_replay,
dispatch_gemm__compact__deepseek_v3__s2304,DISPATCH_GEMM,compact,Compact / adjacent,2x2,"[[0, 0], [0, 1], [1, 0], [1, 1]]",DeepSeek-V3,2304,7168,2048,8,256,2,2,4,True,18432,4608,4608,2048,7168,2048,7168,36,4,28,128,512,256,1703936,3145728,541165879296,541165879296,1.0,1056964608,4128767.9999999995,0.0,False,hbm_free_compute_comm,fused_boundary_tile_replay_v1,2,4,2,0.905,1.0,74746.66841104973,28311552,37748736,37748736,103809024,405504.0,36864.0,kmn,9437184.0,169869312.0,32,96273.40083854937,2,2,1000000000000.0,256000000000.0,4,1000000000000.0,1,1,1000000000000.0,66060288,88080384.0,44040192.0,44040.191999999995,66060.288,1835008.0,0.86,0.96,66060.288,80014.88372093023,80014.88372093023,110196.36363636363,0.8448,32000,36,2000000000000000.0,125000000000000.0,60000000000000.0,3750000000000.0,37748736,629.1456,0,0.0,0.0,0,0.0,0.0,0.0,0.0,67645.734912,1082331.758592,4,4,1,73527.97273043478,141557760,552960.0,110592.0,28311552.0,283115520.0,24,mnk,0.7794,237040.18261538976,97083.73777827116,97083.73777827116,0.7764,0.3375583111609335,0.8241842099618748,0.8241842099618748,24000,direct_xy_personalized_a2a,direct_xy_personalized_a2a,COMM->WAIT->GEMM->SWIGLU,1,36,72,12,1,False,2,14.0,2236.6356589147285,2696.7704938408656,0.0,99320.37343718595,3,"{""direct_xy_personalized_a2a"": 263276.8182743044, ""comet_mesh_personalized_a2a_u1"": 263290.8182743044, ""comet_mesh_personalized_a2a_u2_db"": 263290.8182743044}","{""direct_xy_personalized_a2a"": 123320.37343718595, ""comet_mesh_personalized_a2a_u1"": 123334.37343718595, ""comet_mesh_personalized_a2a_u2_db"": 123334.37343718595}",347237,263277,207280,123320,347237,123320,69481,69481,347237,67645.734912,67645.734912,0.000347237,0.00012332,6.9481e-05,1558.4914029783693,4388.305865196237,1.3189036642015823,1.6808303600389232,1.6752074488614435,2.1349091793707426,2.815739539409666,1.2744148080416764,2.815739539409666,4.99758207279688,0.5634203697697048,67645.734912,66060.288,133706.02291200001,67645.734912,1.9765625000000002,max_not_min,production_moe_swizzle_template,provisional_cost_constants_analytical_scaling,fixed_4x4x1_vs_exp1_1_adaptive_16core,operator_specific_dag_extrapolation_hbm_free,estimated_via_operator_specific_dag_replay,
dispatch_gemm__compact__deepseek_v3__s36864,DISPATCH_GEMM,compact,Compact / adjacent,2x2,"[[0, 0], [0, 1], [1, 0], [1, 1]]",DeepSeek-V3,36864,7168,2048,8,256,2,2,4,True,294912,73728,73728,2048,7168,2048,7168,576,4,28,128,512,256,1703936,3145728,8658654068736,8658654068736,1.0,16911433728,66060287.99999999,0.0,False,hbm_free_compute_comm,fused_boundary_tile_replay_v1,2,4,2,0.905,1.0,1195946.6945767957,452984832,603979776,603979776,1660944384,6488064.0,589824.0,kmn,150994944.0,2717908992.0,32,1473748.2373096682,2,2,1000000000000.0,256000000000.0,4,1000000000000.0,1,1,1000000000000.0,1056964608,1409286144.0,704643072.0,704643.0719999999,1056964.608,1835008.0,0.86,0.96,1056964.608,1280238.1395348837,1280238.1395348837,1283141.8181818181,0.8448,32000,576,2000000000000000.0,125000000000000.0,60000000000000.0,3750000000000.0,603979776,10066.3296,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1082331.758592,17317308.137472,4,4,1,1176447.5636869564,2264924160,8847360.0,1769472.0,452984832.0,4529848320.0,24,mnk,0.8145,3629203.0611257907,1486152.833243125,1486152.833243125,0.8115,0.35276012886910485,0.8614444698403674,0.8614444698403674,24000,direct_xy_personalized_a2a,direct_xy_personalized_a2a,COMM->WAIT->GEMM->SWIGLU,1,576,1152,12,1,False,2,14.0,2236.6356589147285,2580.1264466026473,0.0,1488389.4689020324,3,"{""direct_xy_personalized_a2a"": 3655439.6967847003, ""comet_mesh_personalized_a2a_u1"": 3655453.6967847003, ""comet_mesh_personalized_a2a_u2_db"": 3655453.6967847003}","{""direct_xy_personalized_a2a"": 1512389.4689020324, ""comet_mesh_personalized_a2a_u1"": 1512403.4689020324, ""comet_mesh_personalized_a2a_u2_db"": 1512403.4689020324}",4912345,3655440,2769295,1512389,4912345,1512389,1084167,1084167,4912345,1082331.758592,1082331.758592,0.004912345,0.001512389,0.001084167,1762.6315066909997,5725.150122578252,1.3438450637953296,1.8310732225637716,1.7738612173856523,2.4169972143410194,3.2480697756992414,1.3625627476670539,3.2480697756992414,4.5309855400505645,0.7168572371261626,1082331.758592,1056964.608,2139296.3665920002,1082331.758592,1.9765625000000002,max_not_min,production_moe_swizzle_template,provisional_cost_constants_analytical_scaling,fixed_4x4x1_vs_exp1_1_adaptive_16core,operator_specific_dag_extrapolation_hbm_free,estimated_via_operator_specific_dag_replay,
dispatch_gemm__noncompact__mixtral_8x7b__s2304,DISPATCH_GEMM,noncompact,Non-compact / corners,4x4,"[[0, 0], [0, 3], [3, 0], [3, 3]]",Mixtral-8x7B,2304,4096,14336,2,8,2,2,4,True,4608,1152,1152,14336,4096,14336,4096,9,28,16,128,512,256,1703936,3145728,541165879296,541165879296,1.0,1056964608,4128767.9999999995,0.0,False,hbm_free_compute_comm,fused_boundary_tile_replay_v1,2,4,2,0.8145,0.9,83051.85379005525,49545216,66060288,66060288,181665792,709632.0,64511.99999999999,kmn,16515072.0,297271296.0,32,106307.17643307682,2,6,1000000000000.0,256000000000.0,4,1000000000000.0,3,3,333333333333.3333,9437184,37748736.0,6291456.0,18874.368000000002,9437.184,1048576.0,0.86,0.9,18874.368000000002,24385.488372093027,24385.488372093027,51831.27272727273,0.792,28000,9,2000000000000000.0,125000000000000.0,60000000000000.0,3750000000000.0,66060288,1101.0048,0,0.0,0.0,0,0.0,0.0,0.0,0.0,67645.734912,1082331.758592,4,4,1,98037.29697391303,247726080,967680.0,193536.0,49545216.0,495452160.0,24,mnk,0.778244094488189,376070.05802773207,107716.47323002899,107716.47323002899,0.781244094488189,0.0648429404350367,0.2263858780450202,0.2263858780450202,16000,direct_xy_personalized_a2a,direct_xy_personalized_a2a,COMM->WAIT->GEMM->SWIGLU,1,9,18,12,1,False,6,18.0,2727.4987080103365,11968.497025558776,0.0,110443.97193803935,1,"{""direct_xy_personalized_a2a"": 394797.5567357424}","{""direct_xy_personalized_a2a"": 126443.97193803935}",427901,394798,159548,126444,427901,126444,69743,69743,427901,67645.734912,67645.734912,0.000427901,0.000126444,6.9743e-05,1264.6987955064374,4279.885793679416,1.08384794249211,1.2618075986207333,2.681957780730564,3.1223150169244884,3.384114706905824,1.1641924564800463,3.384114706905824,6.135397100784308,0.5515722375122584,67645.734912,18874.368000000002,86520.102912,67645.734912,1.2790178571428572,max_not_min,production_moe_swizzle_template,provisional_cost_constants_analytical_scaling,fixed_4x4x1_vs_exp1_1_adaptive_16core,operator_specific_dag_extrapolation_hbm_free,estimated_via_operator_specific_dag_replay,
dispatch_gemm__noncompact__mixtral_8x7b__s36864,DISPATCH_GEMM,noncompact,Non-compact / corners,4x4,"[[0, 0], [0, 3], [3, 0], [3, 3]]",Mixtral-8x7B,36864,4096,14336,2,8,2,2,4,True,73728,18432,18432,14336,4096,14336,4096,144,28,16,128,512,256,1703936,3145728,8658654068736,8658654068736,1.0,16911433728,66060287.99999999,0.0,False,hbm_free_compute_comm,fused_boundary_tile_replay_v1,2,4,2,0.905,1.0,1195946.6945767957,792723456,1056964608,1056964608,2906652672,11354112.0,1032191.9999999999,kmn,264241152.0,4756340736.0,32,1469006.4997734996,2,6,1000000000000.0,256000000000.0,4,1000000000000.0,3,3,333333333333.3333,150994944,603979776.0,100663296.0,301989.88800000004,150994.944,1048576.0,0.86,0.9,301989.88800000004,390167.8139534884,390167.8139534884,409300.36363636365,0.792,28000,144,2000000000000000.0,125000000000000.0,60000000000000.0,3750000000000.0,1056964608,17616.0768,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1082331.758592,17317308.137472,4,4,1,1176447.5636869564,3963617280,15482880.0,3096576.0,792723456.0,7927234560.0,24,mnk,0.8171194029850747,5250933.492476776,1490644.69772752,1490644.69772752,0.8141194029850747,0.07430446691288274,0.26174434092060783,0.26174434092060783,16000,direct_xy_personalized_a2a,direct_xy_personalized_a2a,COMM->WAIT->GEMM->SWIGLU,1,144,288,12,1,False,6,18.0,2727.4987080103365,10351.699289774444,0.0,1493372.196435532,1,"{""direct_xy_personalized_a2a"": 5269660.991184787}","{""direct_xy_personalized_a2a"": 1509372.196435532}",5660234,5269661,1899945,1509372,5660234,1509372,1084429,1084429,5660234,1082331.758592,1082331.758592,0.005660234,0.001509372,0.001084429,1529.7342952139436,5736.593807713407,1.0741172914158994,1.258765234812889,2.9791567650642516,3.491293730107621,3.75005896492051,1.171906685492035,3.75005896492051,5.219552409609112,0.7184637054351081,1082331.758592,301989.88800000004,1384321.646592,1082331.758592,1.2790178571428572,max_not_min,production_moe_swizzle_template,provisional_cost_constants_analytical_scaling,fixed_4x4x1_vs_exp1_1_adaptive_16core,operator_specific_dag_extrapolation_hbm_free,estimated_via_operator_specific_dag_replay,
dispatch_gemm__noncompact__deepseek_v3__s2304,DISPATCH_GEMM,noncompact,Non-compact / corners,4x4,"[[0, 0], [0, 3], [3, 0], [3, 3]]",DeepSeek-V3,2304,7168,2048,8,256,2,2,4,True,18432,4608,4608,2048,7168,2048,7168,36,4,28,128,512,256,1703936,3145728,541165879296,541165879296,1.0,1056964608,4128767.9999999995,0.0,False,hbm_free_compute_comm,fused_boundary_tile_replay_v1,2,4,2,0.905,1.0,74746.66841104973,28311552,37748736,37748736,103809024,405504.0,36864.0,kmn,9437184.0,169869312.0,32,96273.40083854937,2,6,1000000000000.0,256000000000.0,4,1000000000000.0,3,3,333333333333.3333,66060288,264241152.0,44040192.0,132120.576,66060.288,1835008.0,0.86,0.9,132120.576,170698.41860465115,170698.41860465115,206818.9090909091,0.792,40000,36,2000000000000000.0,125000000000000.0,60000000000000.0,3750000000000.0,37748736,629.1456,0,0.0,0.0,0,0.0,0.0,0.0,0.0,67645.734912,1082331.758592,4,4,1,73527.97273043478,141557760,552960.0,110592.0,28311552.0,283115520.0,24,mnk,0.7794,237040.18261538976,97083.73777827116,97083.73777827116,0.7764,0.7201243971433247,0.5687442131676892,0.5687442131676892,28000,direct_xy_personalized_a2a,direct_xy_personalized_a2a,COMM->WAIT->GEMM->SWIGLU,1,36,72,12,1,False,6,18.0,4759.6227390180875,2696.7704938408656,0.0,174043.189098492,1,"{""direct_xy_personalized_a2a"": 269799.80535440776}","{""direct_xy_personalized_a2a"": 202043.189098492}",443859,269800,303903,202043,443859,202043,134000,134000,443859,67645.734912,67645.734912,0.000443859,0.000202043,0.000134,1219.2292581563065,2678.46883730691,1.6451408450704226,1.5041501066604634,1.460528523904009,1.3353593047024643,2.196854135010864,0.9142986821873456,2.196854135010864,3.312380597014925,0.6632251550412536,67645.734912,132120.576,199766.31091200002,132120.576,1.512,max_not_min,production_moe_swizzle_template,provisional_cost_constants_analytical_scaling,fixed_4x4x1_vs_exp1_1_adaptive_16core,operator_specific_dag_extrapolation_hbm_free,estimated_via_operator_specific_dag_replay,
dispatch_gemm__noncompact__deepseek_v3__s36864,DISPATCH_GEMM,noncompact,Non-compact / corners,4x4,"[[0, 0], [0, 3], [3, 0], [3, 3]]",DeepSeek-V3,36864,7168,2048,8,256,2,2,4,True,294912,73728,73728,2048,7168,2048,7168,576,4,28,128,512,256,1703936,3145728,8658654068736,8658654068736,1.0,16911433728,66060287.99999999,0.0,False,hbm_free_compute_comm,fused_boundary_tile_replay_v1,2,4,2,0.905,1.0,1195946.6945767957,452984832,603979776,603979776,1660944384,6488064.0,589824.0,kmn,150994944.0,2717908992.0,32,1473748.2373096682,2,6,1000000000000.0,256000000000.0,4,1000000000000.0,3,3,333333333333.3333,1056964608,4227858432.0,704643072.0,2113929.216,1056964.608,1835008.0,0.86,0.9,2113929.216,2731174.6976744183,2731174.6976744183,2709102.5454545454,0.792,40000,576,2000000000000000.0,125000000000000.0,60000000000000.0,3750000000000.0,603979776,10066.3296,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1082331.758592,17317308.137472,4,4,1,1176447.5636869564,2264924160,8847360.0,1769472.0,452984832.0,4529848320.0,24,mnk,0.8145,3629203.0611257907,1486152.833243125,1486152.833243125,0.8115,0.7525549415874236,0.5441441862025804,0.5441441862025804,28000,direct_xy_personalized_a2a,direct_xy_personalized_a2a,COMM->WAIT->GEMM->SWIGLU,1,576,1152,12,1,False,6,18.0,4759.6227390180875,2580.1264466026473,0.0,2744122.824121019,1,"{""direct_xy_personalized_a2a"": 3661962.6838648035}","{""direct_xy_personalized_a2a"": 2772122.824121019}",6338306,3661963,4195255,2772123,6338306,2772123,2115808,2115808,6338306,1082331.758592,1082331.758592,0.006338306,0.002772123,0.002115808,1366.083314490654,3123.473983202044,1.7308492740095953,1.5133726028751249,1.5108273513767339,1.3209958576874115,2.286444721247939,0.8743526230734838,2.286444721247939,2.9956905352470544,0.7632446323629941,1082331.758592,2113929.216,3196260.9745920002,2113929.216,1.512,max_not_min,production_moe_swizzle_template,provisional_cost_constants_analytical_scaling,fixed_4x4x1_vs_exp1_1_adaptive_16core,operator_specific_dag_extrapolation_hbm_free,estimated_via_operator_specific_dag_replay,
gemm_combine__compact__mixtral_8x7b__s2304,GEMM_COMBINE,compact,Compact / adjacent,2x2,"[[0, 0], [0, 1], [1, 0], [1, 1]]",Mixtral-8x7B,2304,4096,14336,2,8,2,2,4,True,4608,1152,1152,4096,14336,4096,14336,9,8,56,128,512,256,1703936,3145728,541165879296,541165879296,1.0,1321205760,5160960.0,0.0,False,hbm_free_compute_comm,fused_boundary_tile_replay_v1,1,8,2,0.905,1.0,74746.66841104973,33030144,0,18874368,51904512,202752.0,55296.0,kmn,14155776.0,113246208.0,26,97993.93751428649,2,2,1000000000000.0,256000000000.0,4,1000000000000.0,1,1,1000000000000.0,9437184,12582912.0,6291456.0,6291.456,9437.184,524288.0,0.86,0.96,9437.184,11430.697674418603,11430.697674418603,35170.90909090909,0.8448,24000,18,2000000000000000.0,125000000000000.0,60000000000000.0,3750000000000.0,7077888,0.0,9437184,589824.0,17694720.0,30,36864.0,2304.0,117.9648,2304.0,67645.734912,1082331.758592,4,4,1,98037.29697391303,70778880,276480.0,55296.0,14155776.0,141557760.0,24,mnk,0.7602682926829268,203987.14060923405,100297.93751428649,100297.93751428649,0.7627682926829269,0.05603636405843693,0.11396742503095249,0.11396742503095249,16000,direct_xy_personalized_a2a,direct_xy_personalized_a2a,DOWN_GEMM->COMM->TOPK_JOIN->WEIGHTED_COMBINE,2,18,54,12,1,False,2,14.0,649.0387596899224,5444.107639682583,128.0,98770.9762739764,3,"{""direct_xy_personalized_a2a"": 218460.17936892394, ""comet_mesh_personalized_a2a_u1"": 218474.1793689239, ""comet_mesh_personalized_a2a_u2_db"": 218474.1793689239}","{""direct_xy_personalized_a2a"": 114770.9762739764, ""comet_mesh_personalized_a2a_u1"": 114784.9762739764, ""comet_mesh_personalized_a2a_u2_db"": 114784.9762739764}",239158,218460,135469,114771,239158,114771,68298,68298,239158,69949.734912,67645.734912,0.000239158,0.000114771,6.8298e-05,2262.7964746987345,4715.179612410801,1.0947450334157283,1.1803417239546576,1.765407584022913,1.9034425072535746,2.083784231208232,1.0781886995841012,2.083784231208232,3.501683797475768,0.595080638837337,67645.734912,9437.184,77082.918912,67645.734912,1.1395089285714284,max_not_min,production_moe_swizzle_template,provisional_cost_constants_analytical_scaling,fixed_4x4x1_vs_exp1_1_adaptive_16core,operator_specific_dag_extrapolation_hbm_free,estimated_via_operator_specific_dag_replay,
gemm_combine__compact__mixtral_8x7b__s36864,GEMM_COMBINE,compact,Compact / adjacent,2x2,"[[0, 0], [0, 1], [1, 0], [1, 1]]",Mixtral-8x7B,36864,4096,14336,2,8,2,2,4,True,73728,18432,18432,4096,14336,4096,14336,144,8,56,128,512,256,1703936,3145728,8658654068736,8658654068736,1.0,21139292160,82575360.0,0.0,False,hbm_free_compute_comm,fused_boundary_tile_replay_v1,4,4,1,0.92,1.0,1176447.5636869564,226492416,905969664,0,1132462080,4423680.0,884736.0,kmn,226492416.0,2264924160.0,24,1453872.9581571193,2,2,1000000000000.0,256000000000.0,4,1000000000000.0,1,1,1000000000000.0,150994944,201326592.0,100663296.0,100663.296,150994.944,524288.0,0.86,0.96,150994.944,182891.16279069765,182891.16279069765,202734.54545454544,0.8448,24000,288,2000000000000000.0,125000000000000.0,60000000000000.0,3750000000000.0,113246208,0.0,150994944,9437184.0,283115520.0,30,589824.0,36864.0,1887.4368,36864.0,1082331.758592,17317308.137472,4,4,1,1176447.5636869564,1132462080,4423680.0,884736.0,226492416.0,2264924160.0,24,mnk,0.8091818181818182,2584108.0400580293,1490736.9581571193,1490736.9581571193,0.8091818181818182,0.07077535457325175,0.12268506646322876,0.12268506646322876,16000,direct_xy_personalized_a2a,direct_xy_personalized_a2a,DOWN_GEMM->COMM->TOPK_JOIN->WEIGHTED_COMBINE,2,288,864,12,1,False,2,14.0,649.0387596899224,5048.169993601109,128.0,1454649.9969168082,3,"{""direct_xy_personalized_a2a"": 2564021.0788177373, ""comet_mesh_personalized_a2a_u1"": 2564035.0788177373, ""comet_mesh_personalized_a2a_u2_db"": 2564035.0788177373}","{""direct_xy_personalized_a2a"": 1470649.9969168082, ""comet_mesh_personalized_a2a_u1"": 1470663.996916808, ""comet_mesh_personalized_a2a_u2_db"": 1470663.996916808}",2786843,2564021,1693472,1470650,2786843,1470650,1082984,1082984,2786843,1119195.758592,1082331.758592,0.002786843,0.00147065,0.001082984,3106.9759109989336,5887.637485966069,1.0869033443953853,1.1515125964709483,1.6456386642353698,1.7434610546357052,1.8949736511066535,1.0594434200692457,1.8949736511066535,2.5733002518966117,0.7363981912759664,1082331.758592,150994.944,1233326.702592,1082331.758592,1.1395089285714284,max_not_min,production_moe_swizzle_template,provisional_cost_constants_analytical_scaling,fixed_4x4x1_vs_exp1_1_adaptive_16core,operator_specific_dag_extrapolation_hbm_free,estimated_via_operator_specific_dag_replay,
