case_id,operator_family,model_or_moe_config,stage,S,D,comparison,baseline_state,optimized_state,speedup,ideal_speedup,attainment
d6_dispatch_gemm_deepseek_v3_down_s2304,dispatch_gemm,DeepSeek-V3,down,2304,6,gpu_inter,G00,G10,1.004980808549646,1.004980808549646,1.0
d6_dispatch_gemm_deepseek_v3_down_s2304,dispatch_gemm,DeepSeek-V3,down,2304,6,native_full,W00,W11,1.4345732837680107,1.4284102303111328,1.0043146242767635
d6_dispatch_gemm_deepseek_v3_down_s2304,dispatch_gemm,DeepSeek-V3,down,2304,6,native_inter_only,C00,C10,1.038276863590776,1.0385533971841827,0.9997337319446872
d9_dispatch_gemm_deepseek_v3_down_s2304,dispatch_gemm,DeepSeek-V3,down,2304,9,gpu_inter,G00,G10,1.0040668131510417,1.0040668131510417,1.0
d9_dispatch_gemm_deepseek_v3_down_s2304,dispatch_gemm,DeepSeek-V3,down,2304,9,native_full,W00,W11,1.4360602434455092,1.4298908018786027,1.0043146242767635
d9_dispatch_gemm_deepseek_v3_down_s2304,dispatch_gemm,DeepSeek-V3,down,2304,9,native_inter_only,C00,C10,1.046860754647992,1.047218013521287,0.9996588495722168
d36_dispatch_gemm_deepseek_v3_down_s2304,dispatch_gemm,DeepSeek-V3,down,2304,36,gpu_inter,G00,G10,1.002101186794705,1.002101186794705,1.0
d36_dispatch_gemm_deepseek_v3_down_s2304,dispatch_gemm,DeepSeek-V3,down,2304,36,native_full,W00,W11,1.44416446794111,1.4379602099104105,1.0043146242767635
d36_dispatch_gemm_deepseek_v3_down_s2304,dispatch_gemm,DeepSeek-V3,down,2304,36,native_inter_only,C00,C10,1.0934924895391602,1.0944363145455234,0.9991376154155164
d6_dispatch_gemm_deepseek_v3_down_s36864,dispatch_gemm,DeepSeek-V3,down,36864,6,gpu_inter,G00,G10,1.05253559302062,1.05253559302062,1.0
d6_dispatch_gemm_deepseek_v3_down_s36864,dispatch_gemm,DeepSeek-V3,down,36864,6,native_full,W00,W11,1.9355538112768738,1.920579207185539,1.00779692086393
d6_dispatch_gemm_deepseek_v3_down_s36864,dispatch_gemm,DeepSeek-V3,down,36864,6,native_inter_only,C00,C10,1.0506147505583943,1.0508740649881874,0.9997532392905747
d9_dispatch_gemm_deepseek_v3_down_s36864,dispatch_gemm,DeepSeek-V3,down,36864,9,gpu_inter,G00,G10,1.0438276349496152,1.0438276349496152,1.0
d9_dispatch_gemm_deepseek_v3_down_s36864,dispatch_gemm,DeepSeek-V3,down,36864,9,native_full,W00,W11,1.9381963196532865,1.9232012540663068,1.0077969300172174
