case_id,operator_family,stage,model_or_moe_config,D,Px,Py,S,state,comparison,inter_enabled,intra_enabled,compute_source,algorithm,compute_time_ns,communication_time_ns,total_time_ns,baseline_state,speedup,inter_port_time_ns,ideal_speedup,attainment,evidence,production_expert_placement_closed,valid_flops,padded_flops,config_sha256,gpu_yaml_sha256,required_shapes_sha256,git_commit
d6_gemm_rs_llama_2_7b_o_proj_s2304,gemm_rs,o_proj,LLaMA-2-7B,6,2,3,2304,W00,native_full,False,False,wafer_model,fixed_16core_full_control,1949874.0869565217,176639.99999999997,2126514.0,W00,1.0,115199.99999999999,1.0,1.0,analytical_fixed_16core_core_to_d2d_port_full_and_inter_replay_from_exp1,True,231928233984,233740173312,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
d6_gemm_rs_llama_2_7b_o_proj_s2304,gemm_rs,o_proj,LLaMA-2-7B,6,2,3,2304,W11,native_full,True,True,wafer_model,fixed_16core_full_control,1899227.2024729522,89473.72320270528,1901309.0,W00,1.118447343382901,38399.99999999999,1.1196733056640624,0.9989050714391781,analytical_fixed_16core_core_to_d2d_port_full_and_inter_replay_from_exp1,True,231928233984,233740173312,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
d6_gemm_rs_llama_2_7b_o_proj_s2304,gemm_rs,o_proj,LLaMA-2-7B,6,2,3,2304,C00,native_inter_only,False,False,wafer_model,fixed_16core_inter_control,1949874.0869565217,176639.99999999997,2126514.0,C00,1.0,115199.99999999999,1.0,1.0,analytical_fixed_16core_core_to_d2d_port_inter_only_replay_from_exp1,True,231928233984,233740173312,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
d6_gemm_rs_llama_2_7b_o_proj_s2304,gemm_rs,o_proj,LLaMA-2-7B,6,2,3,2304,C10,native_inter_only,True,False,wafer_model,fixed_16core_inter_control,1949874.0869565217,89473.72320270528,1951952.0,C00,1.089429453183275,38399.99999999999,1.09059042028667,0.9989354691900835,analytical_fixed_16core_core_to_d2d_port_inter_only_replay_from_exp1,True,231928233984,233740173312,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
d6_gemm_rs_llama_2_7b_o_proj_s2304,gemm_rs,o_proj,LLaMA-2-7B,6,2,3,2304,G00,gpu_inter,False,,gpu_lut,2d_row_column,196608.0,61439.99999999999,258048.0,G00,1.0,,1.3125,0.7619047619047619,measured_gpu_lut_resource_replay,True,231928233984,233740173312,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
d6_gemm_rs_llama_2_7b_o_proj_s2304,gemm_rs,o_proj,LLaMA-2-7B,6,2,3,2304,G10,gpu_inter,True,,gpu_lut,2d_row_column,196608.0,88631.05653603861,198585.72988646632,G00,1.2994287159884497,,1.3125,0.9900409264673902,measured_gpu_lut_resource_replay,True,231928233984,233740173312,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
d6_gemm_rs_llama_2_7b_o_proj_s36864,gemm_rs,o_proj,LLaMA-2-7B,6,2,3,36864,W00,native_full,False,False,wafer_model,fixed_16core_full_control,30614430.052173913,2826239.9999999995,33440670.0,W00,1.0,1843199.9999999998,1.0,1.0,analytical_fixed_16core_core_to_d2d_port_full_and_inter_replay_from_exp1,True,3710851743744,3739842772992,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
d6_gemm_rs_llama_2_7b_o_proj_s36864,gemm_rs,o_proj,LLaMA-2-7B,6,2,3,36864,W11,native_full,True,True,wafer_model,fixed_16core_full_control,29073271.719038818,1427579.5712432845,29097268.0,W00,1.149271814797183,614399.9999999999,1.1502203922271728,0.999175308109298,analytical_fixed_16core_core_to_d2d_port_full_and_inter_replay_from_exp1,True,3710851743744,3739842772992,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
d6_gemm_rs_llama_2_7b_o_proj_s36864,gemm_rs,o_proj,LLaMA-2-7B,6,2,3,36864,C00,native_inter_only,False,False,wafer_model,fixed_16core_inter_control,30614430.052173913,2826239.9999999995,33440670.0,C00,1.0,1843199.9999999998,1.0,1.0,analytical_fixed_16core_core_to_d2d_port_inter_only_replay_from_exp1,True,3710851743744,3739842772992,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
d6_gemm_rs_llama_2_7b_o_proj_s36864,gemm_rs,o_proj,LLaMA-2-7B,6,2,3,36864,C10,native_inter_only,True,False,wafer_model,fixed_16core_inter_control,30614430.052173913,1427579.5712432845,30638327.0,C00,1.0914652748500269,614399.9999999999,1.0923172485331112,0.999220030916633,analytical_fixed_16core_core_to_d2d_port_inter_only_replay_from_exp1,True,3710851743744,3739842772992,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
