case_id,subset,operator_stage,state,M_rank,H,I,D,logical_shape,valid_flops,dispatch_activation_bytes,T_comp_ns,T_move_ns,T_intra_ns,T_ring_ns,T_total_ns,selected_candidate,evidence
dispatch_gate_up_h7168_m64_i512,main,gate_up,I0,64,7168,512,6,"[64, 512, 7168]",469762048,917504,5242.88,7584.0,12826.880000000001,20851.2,33678.08,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m64_i512,main,gate_up,I1,64,7168,512,6,"[64, 512, 7168]",469762048,917504,5242.88,7584.0,10205.44,20851.2,31056.64,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m256_i512,main,gate_up,I0,256,7168,512,6,"[256, 512, 7168]",1879048192,3670016,20971.52,18336.0,39307.520000000004,40204.8,79512.32,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m256_i512,main,gate_up,I1,256,7168,512,6,"[256, 512, 7168]",1879048192,3670016,20971.52,18336.0,30139.52,40204.8,70344.32,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m1024_i512,main,gate_up,I0,1024,7168,512,6,"[1024, 512, 7168]",7516192768,14680064,83886.08,61344.0,145230.08000000002,117619.2,262849.28,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m1024_i512,main,gate_up,I1,1024,7168,512,6,"[1024, 512, 7168]",7516192768,14680064,83886.08,61344.0,114558.08,117619.2,232177.28,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m4096_i512,main,gate_up,I0,4096,7168,512,6,"[4096, 512, 7168]",30064771072,58720256,335544.32,233376.0,568920.3200000001,427276.8,996197.1200000001,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m4096_i512,main,gate_up,I1,4096,7168,512,6,"[4096, 512, 7168]",30064771072,58720256,335544.32,233376.0,452232.32,427276.8,879509.12,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m16384_i512,main,gate_up,I0,16384,7168,512,6,"[16384, 512, 7168]",120259084288,234881024,1342177.28,921504.0,2263681.2800000003,1665907.2,3929588.4800000004,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m16384_i512,main,gate_up,I1,16384,7168,512,6,"[16384, 512, 7168]",120259084288,234881024,1342177.28,921504.0,1802929.28,1665907.2,3468836.48,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m64_i2048,main,gate_up,I0,64,7168,2048,6,"[64, 2048, 7168]",1879048192,917504,20971.52,7584.0,28555.52,20851.2,49406.72,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m64_i2048,main,gate_up,I1,64,7168,2048,6,"[64, 2048, 7168]",1879048192,917504,20971.52,7584.0,24763.52,20851.2,45614.72,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m256_i2048,main,gate_up,I0,256,7168,2048,6,"[256, 2048, 7168]",7516192768,3670016,83886.08,18336.0,102222.08,40204.8,142426.88,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m256_i2048,main,gate_up,I1,256,7168,2048,6,"[256, 2048, 7168]",7516192768,3670016,83886.08,18336.0,93054.08,40204.8,133258.88,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m1024_i2048,main,gate_up,I0,1024,7168,2048,6,"[1024, 2048, 7168]",30064771072,14680064,335544.32,61344.0,396888.32,117619.2,514507.52,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m1024_i2048,main,gate_up,I1,1024,7168,2048,6,"[1024, 2048, 7168]",30064771072,14680064,335544.32,61344.0,366216.32,117619.2,483835.52,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m4096_i2048,main,gate_up,I0,4096,7168,2048,6,"[4096, 2048, 7168]",120259084288,58720256,1342177.28,233376.0,1575553.28,427276.8,2002830.08,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m4096_i2048,main,gate_up,I1,4096,7168,2048,6,"[4096, 2048, 7168]",120259084288,58720256,1342177.28,233376.0,1458865.28,427276.8,1886142.08,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m16384_i2048,main,gate_up,I0,16384,7168,2048,6,"[16384, 2048, 7168]",481036337152,234881024,5368709.12,921504.0,6290213.12,1665907.2,7956120.32,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m16384_i2048,main,gate_up,I1,16384,7168,2048,6,"[16384, 2048, 7168]",481036337152,234881024,5368709.12,921504.0,5829461.12,1665907.2,7495368.32,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m64_i8192,main,gate_up,I0,64,7168,8192,6,"[64, 8192, 7168]",7516192768,917504,83886.08,7584.0,91470.08,20851.2,112321.28,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m64_i8192,main,gate_up,I1,64,7168,8192,6,"[64, 8192, 7168]",7516192768,917504,83886.08,7584.0,87678.08,20851.2,108529.28,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m256_i8192,main,gate_up,I0,256,7168,8192,6,"[256, 8192, 7168]",30064771072,3670016,335544.32,18336.0,353880.32,40204.8,394085.12,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m256_i8192,main,gate_up,I1,256,7168,8192,6,"[256, 8192, 7168]",30064771072,3670016,335544.32,18336.0,344712.32,40204.8,384917.12,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m1024_i8192,main,gate_up,I0,1024,7168,8192,6,"[1024, 8192, 7168]",120259084288,14680064,1342177.28,61344.0,1403521.28,117619.2,1521140.48,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m1024_i8192,main,gate_up,I1,1024,7168,8192,6,"[1024, 8192, 7168]",120259084288,14680064,1342177.28,61344.0,1372849.28,117619.2,1490468.48,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m4096_i8192,main,gate_up,I0,4096,7168,8192,6,"[4096, 8192, 7168]",481036337152,58720256,5368709.12,233376.0,5602085.12,427276.8,6029361.92,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m4096_i8192,main,gate_up,I1,4096,7168,8192,6,"[4096, 8192, 7168]",481036337152,58720256,5368709.12,233376.0,5485397.12,427276.8,5912673.92,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m16384_i8192,main,gate_up,I0,16384,7168,8192,6,"[16384, 8192, 7168]",1924145348608,234881024,21474836.48,921504.0,22396340.48,1665907.2,24062247.68,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m16384_i8192,main,gate_up,I1,16384,7168,8192,6,"[16384, 8192, 7168]",1924145348608,234881024,21474836.48,921504.0,21935588.48,1665907.2,23601495.68,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m64_i32768,main,gate_up,I0,64,7168,32768,6,"[64, 32768, 7168]",30064771072,917504,335544.32,7584.0,343128.32,20851.2,363979.52,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m64_i32768,main,gate_up,I1,64,7168,32768,6,"[64, 32768, 7168]",30064771072,917504,335544.32,7584.0,339336.32,20851.2,360187.52,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m256_i32768,main,gate_up,I0,256,7168,32768,6,"[256, 32768, 7168]",120259084288,3670016,1342177.28,18336.0,1360513.28,40204.8,1400718.08,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m256_i32768,main,gate_up,I1,256,7168,32768,6,"[256, 32768, 7168]",120259084288,3670016,1342177.28,18336.0,1351345.28,40204.8,1391550.08,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m1024_i32768,main,gate_up,I0,1024,7168,32768,6,"[1024, 32768, 7168]",481036337152,14680064,5368709.12,61344.0,5430053.12,117619.2,5547672.32,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m1024_i32768,main,gate_up,I1,1024,7168,32768,6,"[1024, 32768, 7168]",481036337152,14680064,5368709.12,61344.0,5399381.12,117619.2,5517000.32,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m4096_i32768,main,gate_up,I0,4096,7168,32768,6,"[4096, 32768, 7168]",1924145348608,58720256,21474836.48,233376.0,21708212.48,427276.8,22135489.28,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m4096_i32768,main,gate_up,I1,4096,7168,32768,6,"[4096, 32768, 7168]",1924145348608,58720256,21474836.48,233376.0,21591524.48,427276.8,22018801.28,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m16384_i32768,main,gate_up,I0,16384,7168,32768,6,"[16384, 32768, 7168]",7696581394432,234881024,85899345.92,921504.0,86820849.92,1665907.2,88486757.12,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m16384_i32768,main,gate_up,I1,16384,7168,32768,6,"[16384, 32768, 7168]",7696581394432,234881024,85899345.92,921504.0,86360097.92,1665907.2,88026005.12,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m64_i131072,main,gate_up,I0,64,7168,131072,6,"[64, 131072, 7168]",120259084288,917504,1342177.28,7584.0,1349761.28,20851.2,1370612.48,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m64_i131072,main,gate_up,I1,64,7168,131072,6,"[64, 131072, 7168]",120259084288,917504,1342177.28,7584.0,1345969.28,20851.2,1366820.48,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m256_i131072,main,gate_up,I0,256,7168,131072,6,"[256, 131072, 7168]",481036337152,3670016,5368709.12,18336.0,5387045.12,40204.8,5427249.92,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m256_i131072,main,gate_up,I1,256,7168,131072,6,"[256, 131072, 7168]",481036337152,3670016,5368709.12,18336.0,5377877.12,40204.8,5418081.92,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m1024_i131072,main,gate_up,I0,1024,7168,131072,6,"[1024, 131072, 7168]",1924145348608,14680064,21474836.48,61344.0,21536180.48,117619.2,21653799.68,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m1024_i131072,main,gate_up,I1,1024,7168,131072,6,"[1024, 131072, 7168]",1924145348608,14680064,21474836.48,61344.0,21505508.48,117619.2,21623127.68,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m4096_i131072,main,gate_up,I0,4096,7168,131072,6,"[4096, 131072, 7168]",7696581394432,58720256,85899345.92,233376.0,86132721.92,427276.8,86559998.72,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m4096_i131072,main,gate_up,I1,4096,7168,131072,6,"[4096, 131072, 7168]",7696581394432,58720256,85899345.92,233376.0,86016033.92,427276.8,86443310.72,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m16384_i131072,main,gate_up,I0,16384,7168,131072,6,"[16384, 131072, 7168]",30786325577728,234881024,343597383.68,921504.0,344518887.68,1665907.2,346184794.88,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_gate_up_h7168_m16384_i131072,main,gate_up,I1,16384,7168,131072,6,"[16384, 131072, 7168]",30786325577728,234881024,343597383.68,921504.0,344058135.68,1665907.2,345724042.88,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_gate_up_h4096_m112_i512,h_robustness,gate_up,I0,112,4096,512,6,"[112, 512, 4096]",469762048,917504,5242.88,7584.0,12826.880000000001,20851.2,33678.08,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_gate_up_h4096_m112_i512,h_robustness,gate_up,I1,112,4096,512,6,"[112, 512, 4096]",469762048,917504,5242.88,7584.0,10205.44,20851.2,31056.64,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_gate_up_h4096_m112_i131072,h_robustness,gate_up,I0,112,4096,131072,6,"[112, 131072, 4096]",120259084288,917504,1342177.28,7584.0,1349761.28,20851.2,1370612.48,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_gate_up_h4096_m112_i131072,h_robustness,gate_up,I1,112,4096,131072,6,"[112, 131072, 4096]",120259084288,917504,1342177.28,7584.0,1345969.28,20851.2,1366820.48,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_gate_up_h4096_m28672_i512,h_robustness,gate_up,I0,28672,4096,512,6,"[28672, 512, 4096]",120259084288,234881024,1342177.28,921504.0,2263681.2800000003,1665907.2,3929588.4800000004,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_gate_up_h4096_m28672_i512,h_robustness,gate_up,I1,28672,4096,512,6,"[28672, 512, 4096]",120259084288,234881024,1342177.28,921504.0,1802929.28,1665907.2,3468836.48,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_gate_up_h4096_m28672_i131072,h_robustness,gate_up,I0,28672,4096,131072,6,"[28672, 131072, 4096]",30786325577728,234881024,343597383.68,921504.0,344518887.68,1665907.2,346184794.88,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_gate_up_h4096_m28672_i131072,h_robustness,gate_up,I1,28672,4096,131072,6,"[28672, 131072, 4096]",30786325577728,234881024,343597383.68,921504.0,344058135.68,1665907.2,345724042.88,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_down_combine_h7168_m64_i512,down_direction,down_combine,I0,64,7168,512,6,"[64, 512, 7168]",469762048,917504,5242.88,7584.0,12826.880000000001,20851.2,33678.08,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_down_combine_h7168_m64_i512,down_direction,down_combine,I1,64,7168,512,6,"[64, 512, 7168]",469762048,917504,5242.88,7584.0,10205.44,20851.2,31056.64,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_down_combine_h7168_m64_i131072,down_direction,down_combine,I0,64,7168,131072,6,"[64, 131072, 7168]",120259084288,917504,1342177.28,7584.0,1349761.28,20851.2,1370612.48,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_down_combine_h7168_m64_i131072,down_direction,down_combine,I1,64,7168,131072,6,"[64, 131072, 7168]",120259084288,917504,1342177.28,7584.0,1345969.28,20851.2,1366820.48,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_down_combine_h7168_m1024_i8192,down_direction,down_combine,I0,1024,7168,8192,6,"[1024, 8192, 7168]",120259084288,14680064,1342177.28,61344.0,1403521.28,117619.2,1521140.48,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_down_combine_h7168_m1024_i8192,down_direction,down_combine,I1,1024,7168,8192,6,"[1024, 8192, 7168]",120259084288,14680064,1342177.28,61344.0,1372849.28,117619.2,1490468.48,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_down_combine_h7168_m16384_i512,down_direction,down_combine,I0,16384,7168,512,6,"[16384, 512, 7168]",120259084288,234881024,1342177.28,921504.0,2263681.2800000003,1665907.2,3929588.4800000004,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_down_combine_h7168_m16384_i512,down_direction,down_combine,I1,16384,7168,512,6,"[16384, 512, 7168]",120259084288,234881024,1342177.28,921504.0,1802929.28,1665907.2,3468836.48,split_k_streaming_model,analytical_preflight_model_not_npusim
dispatch_down_combine_h7168_m16384_i131072,down_direction,down_combine,I0,16384,7168,131072,6,"[16384, 131072, 7168]",30786325577728,234881024,343597383.68,921504.0,344518887.68,1665907.2,346184794.88,split_k_barrier,analytical_preflight_model_not_npusim
dispatch_down_combine_h7168_m16384_i131072,down_direction,down_combine,I1,16384,7168,131072,6,"[16384, 131072, 7168]",30786325577728,234881024,343597383.68,921504.0,344058135.68,1665907.2,345724042.88,split_k_streaming_model,analytical_preflight_model_not_npusim
