case_id,state,M,N,K,D,logical_shape,valid_flops,local_output_bytes,T_comp_ns,T_move_ns,T_intra_ns,T_ring_ns,T_total_ns,selected_candidate,evidence
d6_m256_n12288_k256,I0,256,12288,256,6,"[256, 12288, 256]",1610612736,1048576,2995.9314285714286,8096.0,11091.931428571428,14826.666666666668,25918.598095238096,split_k_barrier,analytical_preflight_model_not_npusim
d6_m256_n12288_k256,I1,256,12288,256,6,"[256, 12288, 256]",1610612736,1048576,2995.9314285714286,8096.0,9593.965714285714,14826.666666666668,24420.632380952382,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m512_n12288_k256,I0,512,12288,256,6,"[512, 12288, 256]",3221225472,2097152,5991.862857142857,12192.0,18183.862857142856,21653.333333333336,39837.19619047619,split_k_barrier,analytical_preflight_model_not_npusim
d6_m512_n12288_k256,I1,512,12288,256,6,"[512, 12288, 256]",3221225472,2097152,5991.862857142857,12192.0,15187.931428571428,21653.333333333336,36841.264761904764,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m1024_n12288_k256,I0,1024,12288,256,6,"[1024, 12288, 256]",6442450944,4194304,11983.725714285714,20384.0,32367.725714285712,35306.66666666667,67674.39238095238,split_k_barrier,analytical_preflight_model_not_npusim
d6_m1024_n12288_k256,I1,1024,12288,256,6,"[1024, 12288, 256]",6442450944,4194304,11983.725714285714,20384.0,26375.862857142856,35306.66666666667,61682.52952380953,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m2048_n12288_k256,I0,2048,12288,256,6,"[2048, 12288, 256]",12884901888,8388608,23967.45142857143,36768.0,60735.451428571425,62613.333333333336,123348.78476190477,split_k_barrier,analytical_preflight_model_not_npusim
d6_m2048_n12288_k256,I1,2048,12288,256,6,"[2048, 12288, 256]",12884901888,8388608,23967.45142857143,36768.0,48751.72571428571,62613.333333333336,111365.05904761906,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m4096_n12288_k256,I0,4096,12288,256,6,"[4096, 12288, 256]",25769803776,16777216,47934.90285714286,69536.0,117470.90285714285,117226.66666666667,234697.56952380954,split_k_barrier,analytical_preflight_model_not_npusim
d6_m4096_n12288_k256,I1,4096,12288,256,6,"[4096, 12288, 256]",25769803776,16777216,47934.90285714286,69536.0,93503.45142857142,117226.66666666667,210730.1180952381,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m8192_n12288_k256,I0,8192,12288,256,6,"[8192, 12288, 256]",51539607552,33554432,95869.80571428571,135072.0,230941.8057142857,226453.33333333334,457395.1390476191,split_k_barrier,analytical_preflight_model_not_npusim
d6_m8192_n12288_k256,I1,8192,12288,256,6,"[8192, 12288, 256]",51539607552,33554432,95869.80571428571,135072.0,183006.90285714285,226453.33333333334,409460.2361904762,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m16384_n12288_k256,I0,16384,12288,256,6,"[16384, 12288, 256]",103079215104,67108864,191739.61142857143,266144.0,457883.6114285714,444906.6666666667,902790.2780952381,split_k_barrier,analytical_preflight_model_not_npusim
d6_m16384_n12288_k256,I1,16384,12288,256,6,"[16384, 12288, 256]",103079215104,67108864,191739.61142857143,266144.0,362013.8057142857,444906.6666666667,806920.4723809524,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m256_n12288_k1024,I0,256,12288,1024,6,"[256, 12288, 1024]",6442450944,1048576,11983.725714285714,8096.0,20079.725714285712,14826.666666666668,34906.392380952384,split_k_barrier,analytical_preflight_model_not_npusim
d6_m256_n12288_k1024,I1,256,12288,1024,6,"[256, 12288, 1024]",6442450944,1048576,11983.725714285714,8096.0,16031.725714285714,14826.666666666668,30858.392380952384,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m512_n12288_k1024,I0,512,12288,1024,6,"[512, 12288, 1024]",12884901888,2097152,23967.45142857143,12192.0,36159.451428571425,21653.333333333336,57812.78476190476,split_k_barrier,analytical_preflight_model_not_npusim
d6_m512_n12288_k1024,I1,512,12288,1024,6,"[512, 12288, 1024]",12884901888,2097152,23967.45142857143,12192.0,30063.45142857143,21653.333333333336,51716.78476190477,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m1024_n12288_k1024,I0,1024,12288,1024,6,"[1024, 12288, 1024]",25769803776,4194304,47934.90285714286,20384.0,68318.90285714285,35306.66666666667,103625.56952380952,split_k_barrier,analytical_preflight_model_not_npusim
d6_m1024_n12288_k1024,I1,1024,12288,1024,6,"[1024, 12288, 1024]",25769803776,4194304,47934.90285714286,20384.0,58126.90285714286,35306.66666666667,93433.56952380954,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m2048_n12288_k1024,I0,2048,12288,1024,6,"[2048, 12288, 1024]",51539607552,8388608,95869.80571428571,36768.0,132637.8057142857,62613.333333333336,195251.13904761904,split_k_barrier,analytical_preflight_model_not_npusim
d6_m2048_n12288_k1024,I1,2048,12288,1024,6,"[2048, 12288, 1024]",51539607552,8388608,95869.80571428571,36768.0,114253.80571428571,62613.333333333336,176867.13904761904,split_k_streaming_model,analytical_preflight_model_not_npusim
