workload_id,kind,model_id,seq_len,batch_size,kv_len,prefill_seq,output_tokens,naive_cycles,sw_opt_cycles,speedup,source_result_digest,source_file_digest,calibration_status,limitation_tags,status,evidence_level,result_digest
train__llama2_7b__s2304,training,llama2_7b,2304,1,,,,3399296664.0000124,3127593929.066666,1.0868727658051272,eaea487575bc9586faa55d13cc5e909bc890f1ac12659d72a575fad547414edd,05d0a0297a85d6d907771b9bb76e7e2c6d8fdf1db0dd39cf4f0dce9252b0c818,target_cycle_validation_pending,"[""analytical_vector_rate_prior"", ""capacity_infeasible_projection"", ""capacity_projection"", ""hbm_ingress_anchor_abstraction"", ""local_noc_die_level_abstraction"", ""no_target_direct_counterfactual_validation"", ""provided_evidence_failed_release_gate"", ""representative_collective_route_abstraction"", ""target_config_communication_timing_unvalidated"", ""target_config_hbm_latency_unvalidated"", ""target_hardware_unit_closure_failed""]",capacity_infeasible_projection,analytical_resource_dag_extrapolation,73935926019d1a4fdb12e4f48d878f6e7374e3f642c3a8be29533962945599d9
train__llama2_7b__s36864,training,llama2_7b,36864,1,,,,12630288023.999905,11962873015.999828,1.0557905285049367,b5eb3591fd27e72ab8e65f8da9ed2aaae0586e7581578a22d447ad23a7e6b16d,05d0a0297a85d6d907771b9bb76e7e2c6d8fdf1db0dd39cf4f0dce9252b0c818,target_cycle_validation_pending,"[""analytical_vector_rate_prior"", ""capacity_infeasible_projection"", ""capacity_projection"", ""hbm_ingress_anchor_abstraction"", ""local_noc_die_level_abstraction"", ""no_target_direct_counterfactual_validation"", ""provided_evidence_failed_release_gate"", ""representative_collective_route_abstraction"", ""target_config_communication_timing_unvalidated"", ""target_config_hbm_latency_unvalidated"", ""target_hardware_unit_closure_failed""]",capacity_infeasible_projection,analytical_resource_dag_extrapolation,ea1e9339f0dcb3bc243f2b12ba1b1d0384738b9a4026d76850b9a31b28b5a900
train__gpt3_175b__s2304,training,gpt3_175b,2304,1,,,,86943458504.00089,81068540238.40016,1.0724685340123827,e3e6b35e1c0139aee22a05243f7ec522766379d6096d17efce0ce4537a5c17be,05d0a0297a85d6d907771b9bb76e7e2c6d8fdf1db0dd39cf4f0dce9252b0c818,target_cycle_validation_pending,"[""analytical_vector_rate_prior"", ""capacity_infeasible_projection"", ""capacity_projection"", ""hbm_ingress_anchor_abstraction"", ""local_noc_die_level_abstraction"", ""no_target_direct_counterfactual_validation"", ""provided_evidence_failed_release_gate"", ""representative_collective_route_abstraction"", ""target_config_communication_timing_unvalidated"", ""target_config_hbm_latency_unvalidated"", ""target_hardware_unit_closure_failed""]",capacity_infeasible_projection,analytical_resource_dag_extrapolation,8bb5542926b082eb13331d7f06ee5e30cd815c409bf60e28d1e07af00689feb6
train__gpt3_175b__s36864,training,gpt3_175b,36864,1,,,,224239002824.0173,213431912680.0121,1.0506348371633054,06b8011414776a8bba1374f09f239f6f750172432b5409194e63fa64205fdd72,05d0a0297a85d6d907771b9bb76e7e2c6d8fdf1db0dd39cf4f0dce9252b0c818,target_cycle_validation_pending,"[""analytical_vector_rate_prior"", ""capacity_infeasible_projection"", ""capacity_projection"", ""hbm_ingress_anchor_abstraction"", ""local_noc_die_level_abstraction"", ""no_target_direct_counterfactual_validation"", ""provided_evidence_failed_release_gate"", ""representative_collective_route_abstraction"", ""target_config_communication_timing_unvalidated"", ""target_config_hbm_latency_unvalidated"", ""target_hardware_unit_closure_failed""]",capacity_infeasible_projection,analytical_resource_dag_extrapolation,fe2c88410254a32b693e37a384335315c7d0f5484c41dbf15c99e4476d2b1c02
train__llama3_8b__s2304,training,llama3_8b,2304,1,,,,3940271767.999986,3653650889.0666656,1.0784478012913101,ca14dd65a30847588e1078c74f4aa64bc3befc461084fd500636cdbff70fc619,05d0a0297a85d6d907771b9bb76e7e2c6d8fdf1db0dd39cf4f0dce9252b0c818,target_cycle_validation_pending,"[""analytical_vector_rate_prior"", ""capacity_infeasible_projection"", ""capacity_projection"", ""hbm_ingress_anchor_abstraction"", ""local_noc_die_level_abstraction"", ""no_target_direct_counterfactual_validation"", ""provided_evidence_failed_release_gate"", ""representative_collective_route_abstraction"", ""target_config_communication_timing_unvalidated"", ""target_config_hbm_latency_unvalidated"", ""target_hardware_unit_closure_failed""]",capacity_infeasible_projection,analytical_resource_dag_extrapolation,9e624bc7ea53b7638145054be8660eecb8e57dcb705cd6a9194cf120011cb099
train__llama3_8b__s36864,training,llama3_8b,36864,1,,,,13407192727.999775,12718895799.999783,1.0541160914298868,bdfc7e57ded7fb4d9309d7926af3340229f2095264223aaa89e8faea23e1c1b7,05d0a0297a85d6d907771b9bb76e7e2c6d8fdf1db0dd39cf4f0dce9252b0c818,target_cycle_validation_pending,"[""analytical_vector_rate_prior"", ""capacity_infeasible_projection"", ""capacity_projection"", ""hbm_ingress_anchor_abstraction"", ""local_noc_die_level_abstraction"", ""no_target_direct_counterfactual_validation"", ""provided_evidence_failed_release_gate"", ""representative_collective_route_abstraction"", ""target_config_communication_timing_unvalidated"", ""target_config_hbm_latency_unvalidated"", ""target_hardware_unit_closure_failed""]",capacity_infeasible_projection,analytical_resource_dag_extrapolation,5250239673f563225ac88cbfbb6ed2bad7f7650febae15cdf6c50f55ab5387a3
train__llama3_1_405b__s2304,training,llama3_1_405b,2304,1,,,,201194225093.99866,188029537356.39963,1.0700139346332915,5fd1fd6c6cde66fac13271432dbb68368a8cc76d45244e3954621527a0cbfcaa,05d0a0297a85d6d907771b9bb76e7e2c6d8fdf1db0dd39cf4f0dce9252b0c818,target_cycle_validation_pending,"[""analytical_vector_rate_prior"", ""capacity_infeasible_projection"", ""capacity_projection"", ""hbm_ingress_anchor_abstraction"", ""local_noc_die_level_abstraction"", ""no_target_direct_counterfactual_validation"", ""provided_evidence_failed_release_gate"", ""representative_collective_route_abstraction"", ""target_config_communication_timing_unvalidated"", ""target_config_hbm_latency_unvalidated"", ""target_hardware_unit_closure_failed""]",capacity_infeasible_projection,analytical_resource_dag_extrapolation,f856158d73e6de55ef9da7c2472f26669eb148638d80abdf898476520f5f3384
train__llama3_1_405b__s36864,training,llama3_1_405b,36864,1,,,,487043026373.9387,464094778149.95264,1.0494473312444195,55d00d2f2a5e7e6e735f21f3c8adf6ac298502be9b62bc3893e48823142dac30,05d0a0297a85d6d907771b9bb76e7e2c6d8fdf1db0dd39cf4f0dce9252b0c818,target_cycle_validation_pending,"[""analytical_vector_rate_prior"", ""capacity_infeasible_projection"", ""capacity_projection"", ""hbm_ingress_anchor_abstraction"", ""local_noc_die_level_abstraction"", ""no_target_direct_counterfactual_validation"", ""provided_evidence_failed_release_gate"", ""representative_collective_route_abstraction"", ""target_config_communication_timing_unvalidated"", ""target_config_hbm_latency_unvalidated"", ""target_hardware_unit_closure_failed""]",capacity_infeasible_projection,analytical_resource_dag_extrapolation,719af74f89166d81b713e19e5871075c00a867cd21e3f7d6d7f0491f1bc111e8
train__mixtral_8x7b__s2304,training,mixtral_8x7b,2304,1,,,,6410786967.999938,5957082876.266665,1.0761621251805735,f66c2347b942d1e9bd0967f167ad4406ea1078538bc6dcd848ec76f0515ef51d,05d0a0297a85d6d907771b9bb76e7e2c6d8fdf1db0dd39cf4f0dce9252b0c818,target_cycle_validation_pending,"[""analytical_vector_rate_prior"", ""capacity_infeasible_projection"", ""capacity_projection"", ""hbm_ingress_anchor_abstraction"", ""local_noc_die_level_abstraction"", ""no_target_direct_counterfactual_validation"", ""provided_evidence_failed_release_gate"", ""representative_collective_route_abstraction"", ""target_config_communication_timing_unvalidated"", ""target_config_hbm_latency_unvalidated"", ""target_hardware_unit_closure_failed""]",capacity_infeasible_projection,analytical_resource_dag_extrapolation,55d47f350ea643d5a36771fb912271095324528381da320fd38bf76e03093171
train__mixtral_8x7b__s36864,training,mixtral_8x7b,36864,1,,,,18520119447.999943,17597945015.999947,1.052402393072689,e3e54a1fbc2aa586d125f560ef91bd0eaa7e7d100df2d8d7f773720bb6cc9f48,05d0a0297a85d6d907771b9bb76e7e2c6d8fdf1db0dd39cf4f0dce9252b0c818,target_cycle_validation_pending,"[""analytical_vector_rate_prior"", ""capacity_infeasible_projection"", ""capacity_projection"", ""hbm_ingress_anchor_abstraction"", ""local_noc_die_level_abstraction"", ""no_target_direct_counterfactual_validation"", ""provided_evidence_failed_release_gate"", ""representative_collective_route_abstraction"", ""target_config_communication_timing_unvalidated"", ""target_config_hbm_latency_unvalidated"", ""target_hardware_unit_closure_failed""]",capacity_infeasible_projection,analytical_resource_dag_extrapolation,dcb9c941aea4dab00dc497719b2f4ef216602fdad373dfa619f87d2ade250362
