n_ctrl,r,B,K,B_s,N_PE,N,e_H,m,DTE_channel
1,base,64,1,256,1024,16,1,1,1
1,base,64,1,256,1024,16,2,1,1
1,base,64,1,512,1024,16,1,1,1
1,base,64,1,512,1024,16,2,1,1
1,base,128,1,256,1024,16,1,2,1
1,base,128,1,256,1024,16,2,1,1
1,base,128,1,256,1024,16,2,2,1
1,base,128,2,512,8192,8,1,1,1
1,base,128,2,1024,12288,8,1,1,1
1,base,192,1,256,4096,8,1,2,2
1,base,192,1,256,4096,8,2,2,2
1,base,192,1,512,4096,4,1,1,2
1,base,192,1,512,4096,4,2,1,2
1,base,192,2,512,4096,4,2,1,2
1,base,192,2,512,8192,4,1,1,2
1,base,192,2,1024,4096,4,2,1,2
1,base,192,3,768,1024,4,2,1,2
1,base,192,4,768,16384,4,2,1,2
1,base,192,4,1024,1024,4,2,1,2
1,base,192,4,1024,12288,4,1,1,2
1,base,256,1,256,4096,4,1,1,2
1,base,256,1,256,4096,4,2,1,2
1,base,256,1,512,4096,4,2,1,2
1,base,256,2,256,4096,4,2,1,2
1,base,256,2,768,4096,4,2,1,2
1,base,256,3,768,4096,8,2,2,2
1,base,256,3,1024,1024,4,2,1,2
1,base,256,3,1024,1024,8,2,2,2
1,base,256,3,1024,12288,4,1,1,2
1,base,256,4,768,1024,4,2,1,2
1,base,256,4,768,12288,4,1,1,2
1,base,256,4,1024,1024,4,2,1,2
1,base,256,4,1024,4096,4,2,1,2
1,base,256,4,1024,16384,4,1,1,2
1,base,384,4,1024,4096,4,1,1,3
1,base,384,4,1024,4096,4,2,1,3
1,base,384,4,1024,8192,4,1,1,3
1,base,384,4,1024,8192,4,2,1,3
1,base,384,4,1024,8192,8,1,3,3
1,base,384,4,1024,8192,8,2,3,3
1,base,384,4,1024,12288,4,1,1,3
1,base,384,4,1024,12288,4,2,1,3
1,base,512,4,1024,12288,4,2,1,4
1,both,64,1,256,1024,16,1,1,1
1,both,64,1,256,1024,16,2,1,1
1,both,64,1,512,1024,16,1,1,1
1,both,64,1,512,1024,16,2,1,1
1,both,128,1,256,1024,16,1,2,1
1,both,128,1,256,1024,16,2,1,1
1,both,128,1,256,1024,16,2,2,1
1,both,128,2,512,8192,8,1,1,1
1,both,192,1,256,4096,4,1,1,2
1,both,192,1,256,4096,4,2,1,2
1,both,192,1,256,4096,8,1,2,2
1,both,192,1,256,4096,8,2,2,2
1,both,192,1,512,4096,4,2,1,2
1,both,192,1,768,8192,4,1,1,2
1,both,192,2,256,4096,4,2,1,2
1,both,192,2,768,4096,4,2,1,2
1,both,192,3,512,4096,4,2,1,2
1,both,192,3,768,1024,4,1,1,2
1,both,192,3,768,1024,4,2,1,2
1,both,192,4,768,16384,4,2,1,2
1,both,192,4,1024,1024,4,2,1,2
1,both,192,4,1024,4096,4,2,1,2
1,both,192,4,1024,12288,4,1,1,2
1,both,256,1,256,4096,4,1,1,2
1,both,256,1,256,4096,4,2,1,2
1,both,256,1,1024,4096,4,2,1,2
1,both,256,2,512,4096,4,2,1,2
1,both,256,2,1024,4096,8,2,2,2
1,both,256,3,1024,4096,4,2,1,2
1,both,256,3,1024,12288,4,1,1,2
1,both,256,4,768,4096,4,2,1,2
1,both,256,4,768,12288,4,1,1,2
1,both,256,4,1024,1024,4,2,1,2
1,both,256,4,1024,8192,8,1,2,2
1,both,256,4,1024,8192,8,2,2,2
1,both,256,4,1024,16384,4,1,1,2
1,both,384,4,768,8192,8,1,3,3
