channel_count,transfer_index,completion_cycle,max_active_count
1,0,9,1
1,1,18,1
1,2,27,1
1,3,36,1
1,4,45,1
1,5,54,1
1,6,63,1
1,7,72,1
1,8,81,1
1,9,90,1
1,10,99,1
1,11,108,1
2,0,9,2
2,1,12,2
2,2,18,2
2,3,21,2
2,4,27,2
2,5,30,2
2,6,36,2
2,7,39,2
2,8,45,2
2,9,48,2
2,10,54,2
2,11,57,2
3,0,9,3
3,1,12,3
3,2,15,3
3,3,18,3
3,4,21,3
3,5,24,3
3,6,27,3
3,7,30,3
3,8,33,3
3,9,36,3
3,10,39,3
3,11,42,3
4,0,9,4
4,1,12,4
4,2,15,4
4,3,18,4
4,4,21,4
4,5,24,4
4,6,27,4
4,7,30,4
4,8,33,4
4,9,36,4
4,10,39,4
4,11,42,4
6,0,9,6
6,1,12,6
6,2,15,6
6,3,18,6
6,4,21,6
6,5,24,6
6,6,27,6
6,7,30,6
6,8,33,6
6,9,36,6
6,10,39,6
6,11,42,6
8,0,9,8
8,1,12,8
8,2,15,8
8,3,18,8
8,4,21,8
8,5,24,8
8,6,27,8
8,7,30,8
8,8,33,8
8,9,36,8
8,10,39,8
8,11,42,8
12,0,9,12
12,1,12,12
12,2,15,12
12,3,18,12
12,4,21,12
12,5,24,12
12,6,27,12
12,7,30,12
12,8,33,12
12,9,36,12
12,10,39,12
12,11,42,12
16,0,9,12
16,1,12,12
16,2,15,12
16,3,18,12
16,4,21,12
16,5,24,12
16,6,27,12
16,7,30,12
16,8,33,12
16,9,36,12
16,10,39,12
16,11,42,12
